ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Description,Data_Contributor_ID,Survey_Contributor_ID,Survey_Title,Source,Ethnologue_Name,Glossed_Text_PDF,Glossed_Text_Audio,Metadata,Region,Default_Lect_ID,Lexifier
1251,Kriol (Roper River Lect),,-14.833333,135,,,,,,,1026;39,,,,{},,25,English
13,Gullah,,31,-81.5,gull1241,gul,"Gullah, also known as Geechee, is primarily an oral and rural phenomenon. It is largely confined to a corridor along the coast of Southeastern North Carolina, South Carolina, Georgia, and Northeastern Florida in the United States. There is a small diaspora elsewhere in Florida and in Texas. Gullah is in a continuum relation with surrounding varieties of American English. It is not part of any official census and functions primarily in a close-knit community so that it is difficult to come up with precise speaker numbers. There are quite certainly no more than 10,000 monolinguals, but perhaps as many as a couple hundred thousand persons with some competency in the language in addition to varieties of English. The basilectal end of the spectrum is the <span style=""font-weight: bold;"">default lect</span> documented in <span style=""font-style: italic;"">APiCS</span>. Linguistic material for the default lect description is taken mainly from Turner (1949) but also from Cunningham (1992) and the 2005 New Testament translation (<span style=""font-style: italic;"">De Nyew Testament</span>). Data from the works of Hopkins (1994), Mufwene (2004), and Weldon (2003) were used as well, supplemented by examples from the author’s field research.
<span style=""font-weight: bold;"">
Acknowledgements</span><span style=""font-weight: bold;"">
</span>
I am grateful to the <span style=""font-style: italic;"">APiCS</span> editors for critical peer commentary and to the Faculty Development Committee at Georgia Southern University for financial support to participate in the First <span style=""font-style: italic;"">APiCS</span> Conference (5-8 November 2009).",kleinthomasb,kleinthomasb,"Gullah. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1000;1001;1003;1005;1059;1060;1282;1447;1449;1500;1572;1573;1581;1687;226;227;328;329;330;357;560;604;638;651;685;719;915;981;984;992;994;998;999;1883[survey],Sea Island Creole English,287b403d219a8018158d142b4ca15f82,8578b06e6b040ebca1ce16ef3d6fa5b7,"{""Autoglossonyms"": ""Gullah, Geechee, \u201cbroken English\u201d"", ""Other name"": ""Sea Island Creole"", ""Number of speakers"": ""no more than ca. 10,000 monolinguals"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Fula, Kongo, Mende, Vai, Yoruba"", ""Location"": ""SE corner of North Carolina, South Carolina, Georgia, and NE corner of Florida; Sea Islands and adjacent coastal areas"", ""Official language of the United States"": ""English (de facto)""}",North America,,English
1301,Cape Verdean Creole of Santiago (acrolect (close to Portuguese)),,15.083333,-22.616667,,,,,,,106,,,,{},,30,Portuguese
1331,Guinea-Bissau Kriyol (older generation),,11.9,-15,,,,,,,,,,,{},,33,Portuguese
1332,Guinea-Bissau Kriyol (acrolect),,11.9,-15,,,,,,,,,,,{},,33,Portuguese
1333,Guinea-Bissau Kriyol (basilect),,11.9,-15,,,,,,,,,,,{},,33,Portuguese
1371,Principense (younger generation),,1.616667,7.366667,,,,,,,905,,,,{},,37,Portuguese
1391,Diu Indo-Portuguese (older lect),,20.713087,70.984726,,,,,,,221,,,,{},,39,Portuguese
14,African American English,,37.282795,-85.12207,afri1269,,"African American English is spoken by some, not all, African Americans in the United States, as well as by some non-African Americans who have close contact with African American English-speaking communities. The many speakers who use the variety are on a continuum ranging from those for who use it as their native variety to those who use a limited subset of African American English patterns in limited contexts. The grammatical patterns of African American English are uniform across African American English-speaking communities; however, there may be regional variation across varieties, especially in the sound patterns. African American English, an oral variety, is commonly studied such that descriptions of patterns and constructions associated with it have been described although there are no formal grammars or conventions for representing or writing the variety. The default lect represented in <span style=""font-style: italic;"">APiCS</span> is based on data from adolescents and adult speakers in an African American English-speaking community in southwestern Louisiana. Some examples were also taken from published works on African American English if they were used by speakers in the Louisiana community.",greenlisa,greenlisa,"African American English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1002;1228;1283;1464;1496;1686;1804;398;419;465;535;576;606;68;834;855;892;893;984;989;1858[survey],< English,8adb7e052e5eb48b085aa34e369eed31,701de2bdf1dd5172dec9200325ad7432,"{""Other names"": ""African American Vernacular English, African American Language, Ebonics"", ""Number of speakers"": ""many millions of speakers"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""various African languages"", ""Location"": ""United States, some diaspora communities"", ""Main languages of the United States"": ""English, Spanish""}",North America,,English
1431,Batavia Creole (Tugu),,-6.716667,107.183334,,,,,,,906,,,,{},,43,Portuguese
15,Krio,,8.483333,-13.2,krio1253,kri,"Krio (or Sierra Leone Krio) is used natively primarily by residents of the Western Area Peninsula (including Freetown) and as a lingua franca by more than 4 million of the approximately 5.5 million residents of Sierra Leone in general. It is additionally used as a lingua franca by an indeterminate number of speakers of Sierra Leone origin living outside of Sierra Leone. The default lect documented in <span style=""font-style: italic;"">APiCS </span>is reflective of standard usage by me and other native Krio speakers residing in Freetown and supported by my and their intuitions as native Krio speakers. Additional examples used in the data set were from a variety of published sources (including <span style=""font-style: italic;"">A Krio–English dictionary</span> by Clifford Fyle and Eldred Jones, 1980).

The use of Krio in Sierra Leone has become more widespread since it was incorporated into the educational curriculum and is now one of the most popular languages taught in schools. Krio grammar has further been influenced by input from non-native Krio speakers (formerly residents in the provinces, where Krio was used non-natively as a lingua franca) who were displaced by the civil war in the 1990s and resettled in Freetown. Krio became the language used almost exclusively by most of the new Freetown residents who produced some variant Krio grammatical forms (possibly due to transfer from their primary languages) that were incorporated into Krio grammar and now coexist as parallels to the original Krio forms and expressions. The <span style=""font-style: italic;"">APiCS </span>data do not reflect these variant forms.",finneymalcolmawadajin,finneymalcolmawadajin,"Krio. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1021;1072;1074;1075;1076;1079;1183;1580;253;385;517;518;519;545;601;603;605;606;686;687;1916[survey],Krio,bde0751ab1b19d0a491362c1f01222bc,b1df1e6f245e7dfc8f8f5611c3d4bdd4,"{""Autoglossonym"": ""Krio"", ""Number of speakers"": ""Native speakers: approx. 350,000 Use as lingua franca: approx. 4 million"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Yoruba, other West African languages"", ""Location"": ""primarily in Freetown and in other cities in Sierra Leone"", ""Official language of Sierra Leone"": ""English""}",West Africa,,English
1501,Guadeloupean Creole (older generation),,15.933333,-61.266666,,,,,,,,,,,{},,50,French
1521,Guyanais (costal),,3.922142,-51.792297,,,,,,,,,,,{},,52,French
1531,Louisiana Creole (old texts),,30.166668,-91.833336,,,,,,,1048;1049;794,,,,{},,53,French
1532,Louisiana Creole (geographical (Pointe Coupee)),,30.166668,-91.833336,,,,,,,720;722,,,,{},,53,French
1551,Mauritian Creole (Bhojpuri-influenced Mauritian Creole),,-20,58,,,,,,,770,,,,{},,55,French
1561,Seychelles Creole (older generation),,-4.75,55.5,,,,,,,,,,,{},,56,French
1562,Seychelles Creole (French-influenced),,-4.75,55.5,,,,,,,159,,,,{},,56,French
1563,Seychelles Creole (written),,-4.75,55.5,,,,,,,159;763,,,,{},,56,French
1591,Sango (written),,5,18,,,,,,,1330,,,,{},,59,Other
16,Ghanaian Pidgin English,,5.558582,-0.20874,ghan1244,,"Ghanaian Pidgin English is used by roughly a fifth of Ghana’s more than 25 million inhabitants (2012) in a variety of situations. It is a predominantly oral and urban phenomenon, spoken in the south of Ghana, especially in the capital Accra. It is confined to a smaller (though growing) section of society than Pidgin English in other anglophone West African countries, its functional domain is more restricted and the language is more stigmatized. There are two main varieties: ""Uneducated"" Pidgin is associated with the less educated sections of society, while ""educated"" Pidgin (also called ""Student Pidgin"") is usually spoken by Ghanaians who have at least progressed to the upper forms of secondary school. The uneducated variety is the <span style=""font-weight: bold;"">default lect</span> documented in <span style=""font-style: italic;"">APiCS</span>. This variety can be heard e.g. in the so-called zongos, quarters in the bigger southern cities which are home to migrants from Ghana’s north but also from neighbouring countries like Mali and Burkina Faso. At times, reference is made in the database to alternative structures in <span style=""font-weight: bold;"">Student Pidgin</span>, which is spoken mostly by male speakers in informal settings in the secondary schools and universities, but increasingly also outside these institutions. In one case (Feature 5 ""Order of demonstrative and noun) the database provides information on a more <span style=""font-weight: bold;"">acrolectal variety</span> of the default lect (uneducated Pidgin).",hubermagnus,hubermagnus,"Ghanaian Pidgin English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1712;385;655;656;657;1880[survey],,865abf00f94869a7fb5c182b5671df73,c195595f41d92ce7263f0b00ab2f875c,"{""Autoglossonyms"": ""Broken , Pidgin (English) , ( Kru English and the Akan equivalent kroo brofo are both obsolete)"", ""Number of speakers"": ""ca. 5 million"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Western Kwa and Gur languages"", ""Location"": ""Ghana"", ""Official languages of Ghana"": ""English (de facto); Akan, Ewe, Dangme, Ga, Nzema, Dagaare, Gonja, Kasem, Dagbani (national languages)""}",West Africa,,English
1641,Juba Arabic (Arabic interference),,4.266667,31.016666,,,,,,,1089,,,,{},,64,Arabic
1642,Juba Arabic (basilectal),,4.266667,31.016666,,,,,,,,,,,{},,64,Arabic
1651,Chinese Pidgin Russian (depidginized),,48,134,,,,,,,1195,,,,{},,65,Other
17,Nigerian Pidgin,,6.358975,5.564575,nige1257,pcm,"With over 75 million speakers, Nigerian Pidgin has become by far the most widely spoken and fastest growing language in Nigeria today. Nigerian Pidgin is the first language, or one of the first languages, learned by tens of millions of people across southern Nigeria and in urban areas throughout the entire country.  For those who do not learn Nigerian Pidgin as one of their first languages, it is learned informally as a second language in one or a number of venues for interethnic contact, including marketplaces, workplaces, schools, universities, military and police barracks, etc.  Many of those who learn Nigerian Pidgin as one of their first languages, as well as a considerable number of those who learn Nigerian Pidgin as a second language, eventually end up using it as their main language of day-to-day communication. Proficiency in Nigerian Pidgin ranges from the ‘deep’ varieties spoken by those who have learned it as their mother tongue for generations in Warri and Sapele, to varieties heavily influenced by other ancestral Nigerian languages spoken by those who have learned Nigerian Pidgin as a second language and who use it only for trading in the marketplace, to varieties heavily influenced by Standard English spoken by those who have learned Nigerian Pidgin as a second language and who use it only with classmates at university, etc.  Unless otherwise specified, the lect of Nigerian Pidgin utilized for the descriptions and examples of features, lexical items, and constructions provided in this work (default lect) is that used by the millions of people who have learned Nigerian Pidgin as a first language and who use it as one of their main languages of daily communication in the metropolitan area of the city of Port Harcourt at the mouth of the delta of the Niger River in the southeast of Nigeria.",faraclasnicholas,faraclasnicholas,"Nigerian Pidgin. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1082;1083;1183;1230;1394;1466;1849;19;20;382;385;459;460;461;462;463;490;606;870;878;915;1904[survey],"Pidgin, Nigerian",64f6c14f326ed250e874b652d9d90120,26d95798abc97cb346c3022122f7850b,"{""Autoglossonyms"": ""Broken, Pidgin"", ""Number of speakers"": ""approximately 75 million"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""primarily Benue-Kwa languages of the Niger-Congo family"", ""Location"": ""Nigeria and the Nigerian diaspora"", ""Official languages of Nigeria"": ""English, Hausa, Igbo, Yoruba""}",West Africa,,English
1731,Media Lengua (Imbabura Media Lengua (data Gómez Rendón)),,-1.816667,-78.199997,,,,,,,1038;557,,,,{},,73,Spanish
1741,Chinuk Wawa (Grand Ronde CW),,53.700001,-127.73333,,,,,,,673;675,,,,{},,74,Other
18,Cameroon Pidgin English,,3.383333,9.966667,came1254,wes,"Cameroon Pidgin English is spoken in the Republic of Cameroon and in many diaspora communities, e.g. in France, the UK, Germany, the USA, and South Africa. The number of speakers is difficult to determine as it is spoken by different people with varying degrees of competence: these range from L1 speakers and fluent L2 speakers to people who use it only sporadically as a rudimentary and <span style=""font-style: italic;"">ad hoc </span>means of communication in trade situations. In Cameroon, in addition to the two official languages French and English, there are approximately 280 indigenous languages spoken at the local level, out of which 7 or 8 as well as Cameroon Pidgin English have attained the status of regional lingua francas. Of these, Cameroon Pidgin English is probably the most important one. All these languages (indigenous and official) exert an influence on Cameroon Pidgin English, and therefore variation in this language is determined by varying degrees of approximation to Cameroon English and to French at the acrolectal end (usually associated with educated speakers in urban environments) and varying degrees of influence from the indigenous languages at the basilectal end (usually associated with less educated speakers and rural areas). The variety taken as the default lect for the features in <span style=""font-style: italic;"">APiCS</span> ranges between the two ends of this gradatum and is usually described as ‘broad variety’. All examples are either taken from published descriptions of the language (as indicated in the dataset) or constructed with the help of Dr. Balbina Ebong, a native speaker of Cameroon Pidgin English.

<span style=""font-weight: bold;"">Acknowledgement:
</span>
I would like to thank Dr. Balbina Ebong, who - as a native speaker of Cameroon Pidgin English - crosschecked all constructed examples in this survey",schroderanne,schroderanne,"Cameroon Pidgin English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1175;125;1343;1344;1345;1346;1347;1487;1488;352;63;908;938;97;1868[survey],"Pidgin, Cameroon",d01c68a56941c1e26851399da2944f9d,f287a7dac36861dc0ecbb44954d8045b,"{""Autoglossonym"": ""Kamtok"", ""Other name"": ""Cam(eroon) talk"", ""Number of speakers"": ""unknown"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""French, many indigenous Cameroonian languages"", ""Location"": ""Cameroon and diaspora communities worldwide"", ""Official languages of Cameroon"": ""French, English""}",West Africa,,English
19,Pichi,,3.754634,8.779449,fern1234,fpe,"Pichi is used as a home or vernacular language by the vast majority of the old-established population of the island of Bioko. It is most often used as a primary home language in the Equatoguinean capital Malabo (located on Bioko), as well as in Luba (the second largest agglomeration of Bioko). There are no language-specific census data on Equatorial Guinea. By extrapolation from population figures it may however be safe to assume that at least seventy percent of the population of Bioko, hence more than 150,000 people, use Pichi regularly. On one end, the lectal continuum of Pichi features a variety rather close to Sierra Leone Krio in terms of phonology, morphosyntax, lexicon and idiomatic usage. This variety tends to be characteristic of older speakers, who grew up in the centre of Malabo in the ambit of Fernandino creole culture. On the other end, we find a variety characterized by phonological and morphosyntactic innovation, the absence of older layers of Krio-derived vocabulary, some convergence with West African English lexifier creoles like Nigerian Pidgin, and considerable lexical and structural admixture from Spanish. This variety, which is the default lect documented in <span style=""font-style: italic;"">APiCS</span>, tends to be spoken by the younger urban working-class population of Malabo, often with a Bubi cultural background, who have adopted Pichi as a primary language, and whose families have been accultured in more recent decades into the Pichi-speaking urban culture of Malabo. The former variety is spoken by much fewer people than the latter one and continues shrinking at the expense of the latter variety.",yakpokofi,yakpokofi,"Pichi. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1634;385;1907[survey],Fernando Po Creole English,60003bffaaab4d7cdddfd075a1698c10,8818c8f5d038c5e5e79ab7ae78cd0762,"{""Autoglossonyms"": ""Pichi, Pichin, Pichinglis, Krio"", ""Other names"": ""English: Fernando Po Creole English, Fernando Po Krio, Pidgin, Broken English Spanish: Pichi, Pichinglis"", ""Number of speakers"": ""100,000 upwards"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Spanish (major), Yoruba, Portuguese, Bube, French"", ""Location"": ""Bioko (Equatorial Guinea) and emigrant communities in Rio Muni, neighbouring countries and Spain"", ""Official languages of Equatorial Guinea"": ""Spanish and French""}",West Africa,,English
2,Sranan,,5.833333,-55,sran1240,srn,"Sranan, also known as Sranan Tongo, Taki-Taki, and Suriname Creole English, is used as the lingua franca of Suriname, and is one of 20 languages spoken in that country, among which are six other creoles. Sranan is spoken both as a first language and a lingua franca throughout the country and in western French Guiana. It is currently the native language of about 126,000 Surinamese, and a second (or third) language for most of the rest of the population of about 400,000. It is also estimated that most of the 200,000 people of Surinamese descent who now live in the Netherlands also speak Sranan. The varieties used by speakers there as well as by Dutch-dominant Surinamese have been influenced to varying degrees by Dutch. The varieties used by groups of Asian descent as well as by Amerindians also appear to have been influenced by the respective ethnic languages, though little research has been done to investigate such influences. There is also a great deal of variation in the language according to social class and status. In general, two primary varieties can be identified. One is the more conservative variety learnt as a first language by members of the working classes in poorer neighborhoods in Paramaribo, as well as in former plantation areas such as the Para District, Coronie, etc. These speakers are for the most part Afro-Surinamese, and refer to their vernacular as “Nengre” (Black Talk). This is the <span style=""font-weight: bold;"">default lect</span> selected for <span style=""font-style: italic;"">APiCS</span>. The other main variety of Sranan has been more heavily influenced by Dutch since it is mostly used as second language by Dutch-dominant speakers, and is referred to as <span style=""font-weight: bold;"">Dutch-influenced</span>.",winforddonald plagingo,winforddonald plagingo,"Sranan. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",10;1021;1062;11;1216;1217;1218;1220;1337;1356;1357;1373;1375;1376;1380;1381;1422;1426;1429;1432;1438;147;1556;1557;1559;1584;1585;1587;1596;1597;1601;1603;1604;1605;1606;1608;1609;174;1810;1812;1813;183;186;188;189;194;198;201;21;404;414;450;451;489;53;54;606;626;728;744;757;817;915;959;984;1918[survey],Sranan,9d04a82a1f7c09921234ae768910c667,f1608d81249d2cba288d0f13e3923504,"{""Autoglossonym"": ""Sranan tongo"", ""Other names"": ""Sranan, Taki-Taki, Surinaams, Suriname Creole English, Surinamese"", ""Number of speakers"": ""126,000 (1993)"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Dutch, Portuguese"", ""Location"": ""Suriname"", ""Official language of Suriname"": ""Dutch""}",Caribbean,,English
20,Chinese Pidgin English,,23.079733,113.334961,chin1253,cpi,"Chinese Pidgin English is represented in two kinds of sources from the China trade period: (i) western texts such as memoirs and travelogues which give examples of pidgin phrases and dialogue, and (ii) phrasebooks in which pidgin words and phrases are represented using Chinese characters. The language represented in these sources differs in ways which are systematic, leading scholars to believe that Chinese Pidgin English as spoken by Chinese speakers differed from that used by speakers of English and other European languages (Ansaldo, Matthews &amp; Smith 2011). The <span style=""font-weight: bold;"">default lect</span> for the Chinese Pidgin English dataset is the variety used by Chinese speakers as represented in the phrasebooks, from which the majority of examples are drawn (see Li, Matthews &amp; Smith 2005). The alternate <span style=""font-weight: bold;"">European</span> lect referred to in the entries for certain features is the variety used by speakers of European languages as represented in the memoirs and similar western texts.",limichelle matthewsstephen,matthewsstephen limichelle,"Chinese Pidgin English. In ""The survey of pidgin and creole languages"". Volume 1: English-based and Dutch-based Languages",1020;1063;1070;1264;1310;1391;1402;1427;1476;1481;1482;1483;1489;1490;1640;1642;1643;1650;1651;1653;1654;1655;1656;1657;167;168;255;269;348;350;389;42;424;43;45;493;540;597;613;646;660;80;827;828;838;93;985;99;1872[survey],Chinese Pidgin English (extinct),ebd89b3fd1ad12b9e1b9a9797cc7819f,,"{""Autoglossonyms"": ""Pidgin, Pidgin English"", ""Other name"": ""Chinese Coast Pidgin , Cantonese:_\u5ee3\u6771\u756a\u8a71 (Gw\u00f3ngd\u016bng f\u0101anw\u00e1a)"", ""Number of speakers"": ""rememberers only (formerly in the 1,000s)"", ""Major lexifier"": ""English"", ""Other contributing languages"": ""Cantonese, Portuguese"", ""Location"": ""Formerly in Canton (Guangzhou), Hong Kong, Shanghai and other treaty ports"", ""Official languages of Hong Kong: Official language of the People\u2019s Republic of China"": ""English, Cantonese and Putonghua (Mandarin) Putonghua (Mandarin)""}",East Asia,,English
