ID,Name,Description,Contributor_ID,Chapter,Type,PHOIBLE_Segment_ID,PHOIBLE_Segment_Name,Multivalued,WALS_ID,WALS_Representation,Area,Map_Gall_Peters,metadata
107,Vocative markers,"A vocative phrase may contain a vocative marker in addition to the address term (e.g. <span style=""font-style: italic;"">hey Ben!</span>), and here we ask whether the vocative marker precedes or follows the address term, and whether it is optional or obligatory.",michaelissusannemaria haspelmathmartin,,primary,,,false,,,Lexicon,e64f884d1b6b21578ad30b3425249aaf,{}
108,Para-linguistic usages of clicks,"While only a few languages in southern Africa have click sounds (velaric ingressive consonants) in ordinary words, many languages can use clicks as para-linguistic, interjection-like gestures. This feature follows <span style=""font-style: italic;"">WALS</span> feature 142, by David Gil. 
Such usages of clicks are not systematically described by linguists, but they show interesting patterns. In some languages, clicks may have only logical meanings, i.e. ‘no’ or ‘yes’. In others, they may have only affective meanings, i.e. meanings such as disapproval, surprise, or disdain. English is such a language (the alveolar click is sometimes spelled “tsk” or “tut”). There are also languages where clicks can have both logical and affective meanings, and finally, some languages do not have para-linguistic clicks at all.
(Click sounds are consonants that are articulated with two closures in the oral cavity. After the pocket of air enclosed between these two closures is rarefied by a sucking action of the tongue, the release of the forward closure produces the characteristic click sound; phoneticians describe clicks as having <span style=""font-style: italic;"">velaric ingressive airstream</span> mechanism.)",haspelmathmartin,,primary,,,false,142A,143,Lexicon,fe0d4f8e7660348e221f572b98561885,{}
109,Pequenino,"Many pidgins and creoles around the world have a word such as  <span style=""font-style: italic;"">piccaninny</span> ,  <span style=""font-style: italic;"">pikin</span>  or  <span style=""font-style: italic;"">pickney</span>  for ‘child; offspring; small; little’ or similar meanings. It is commonly supposed that these words go back to Portuguese  <span style=""font-style: italic;"">pequeno/-a</span> ,  <span style=""font-style: italic;"">pequenino/-a</span>  or even  <span style=""font-style: italic;"">pequenininho/-a</span>  (with double diminutive marking), all meaning ‘small’. This feature looks at whether or not  <span style=""font-style: italic;"">pequenino</span>  is attested in the  <span style=""font-style: italic;"">APiCS</span>  languages.",hubermagnus,,primary,,,false,,,Lexicon,7f368e40f23dfa0d81274c4dac94fb7d,{}
11,"Order of frequency adverb, verb, and object","A word order parameter that has been prominent in generative grammar is the order of frequency adverbs and the verb in a transitive sentence. Here we limit ourselves to adverbs that translate ‘often’ (or ‘usually’, ‘mostly’, ‘a lot’, ‘many times’, ‘all the time’, ‘always’). In the values, the order of the subject is ignored, and we only consider full-NP direct objects (not pronominal direct objects). Moreover, we only consider the position of the main verb, ignoring any auxiliary verbs. 
By <span style=""font-style: italic;"">adverb</span> we mean any fixed expression for frequency that is not clearly an argument noun phrase or a verb (phrase). Thus, we include not only single word expressions like <span style=""font-style: italic;"">often</span> and <span style=""font-style: italic;"">always</span>, but also fixed phrasal expressions like <span style=""font-style: italic;"">all the time</span>. However, freely created phrasal expressions (e.g. <span style=""font-style: italic;"">with high frequency</span>) do not count as adverbs.",haspelmathmartin,,primary,,,true,,,Word order,a75dd4a836cbfdf5697781e37760aba9,{}
110,Savvy,"Many contact languages have words like  <span style=""font-style: italic;"">save</span> ,  <span style=""font-style: italic;"">savvy</span>  or  <span style=""font-style: italic;"">sabi</span>  with the meaning ‘know’ (or similar), deriving ultimately from forms of Portuguese  <span style=""font-style: italic;"">saber</span>  or from the etymologically closely related words  <span style=""font-style: italic;"">saber</span>  and  <span style=""font-style: italic;"">savoir</span>  in Spanish and French. This feature looks at whether or not  <span style=""font-style: italic;"">savvy</span>  is attested in the  <span style=""font-style: italic;"">APiCS</span>  languages. Note that the feature values only record the lexical meaning ‘know’, not grammaticalized modal, copular or other meanings.",hubermagnus,,primary,,,false,,,Lexicon,82ef39609fe0dc9a3c62a24c84d0f0af,{}
111,'Tears',"Several contact languages around the world have a bimorphemic word for ‘tear(s)’, literally meaning ‘eye + water’ or something similar. In others, there is no separate word for tears and reference to the phenomenon is made via phrasal expressions or circumlocution. Feature 111 looks at the distribution of lexical or phrasal choices that <span style=""font-style: italic;"">APiCS</span> languages make to express the concept of tears and has three values:
– Monomorphemic: the language has a synchronically monomorphemic word like English <span style=""font-style: italic;"">tear</span> or French <span style=""font-style: italic;"">larme.</span>
– Bimorphemic: the language has a bimorphemic compound like <span style=""font-style: italic;"">eye+water.</span>
– Phrase/circumlocution: the language uses phrases (e.g. <span style=""font-style: italic;"">water in eye</span> or <span style=""font-style: italic;"">eye's water</span>) or circulocutions (e.g. <span style=""font-style: italic;"">water is in the eye</span>).",hubermagnus,,primary,,,true,,,Lexicon,57c23eed27ab1da2bc1fd93af418ff6c,{}
112,'Hand' and 'arm',"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 129, by Cecil H. Brown) concerns the semantic identity or differentiation between the words meaning ‘hand’ (from the fingertips to the wrist) and ‘arm’ (from the wrist upwards). For the purposes of this feature, we consider only the forearm, from the wrist to the elbow. Of the several logical possibilities to partition the semantic space of the upper limb, the following are attested in the <span style=""font-style: italic;"">APiCS</span> languages:
	Identity: ‘Hand’ and ‘arm’ are not differentiated lexically, the same word is used to refer to both body parts and there is no word that denotes only ‘hand’ or only ‘arm’.
	Differentiation: One word denotes 'hand' and another (possibly related) word denotes 'arm'.
	Overlap: This covers cases of semantic overlap, where there are two different (possibly related) words, but one of them denotes ‘hand and arm’ and the other only ‘hand’ or only ‘arm’.",hubermagnus,,primary,,,false,129A,617,Lexicon,188cdfae07b5a02bc43712a6bceeaa10,{}
113,'Finger' and 'toe',"This feature concerns the identity or differentiation between the expressions (words, compounds, or phrases) referring to ‘finger’ and ‘toe’. Words/phrases referring to ‘finger’ and ‘toe’ are counted as separate expressions even if there is formal overlap between them, as in e.g. Nigerian Pidgin <span style=""font-weight: bold; font-style: italic;"">finga</span> ‘finger’ and <span style=""font-weight: bold; font-style: italic;"">finga</span><span style=""font-style: italic;""> fòr leg</span> ‘toe’. In some languages the words meaning ‘finger’ and/or ‘toe’ include larger segments of the limbs, e.g. Gurindji Kriol <span style=""font-style: italic;"">wartan</span> ‘upper limb below elbow’ is used to refer to ‘finger’. In such cases these semantically wider words were taken as a basis for classification. This feature has four values:
	Differentiation: One word denotes ‘finger’ and another (possibly related) word denotes ‘toe’.
	Identity and differentiation: There are at least three (possibly related) words; one denotes ‘finger’, one denotes ‘toe’, and the third denotes ‘digit’ (i.e. 'finger/toe').
	Overlap: This covers cases of semantic overlap, where there are two different (possibly related) words, but one of them denotes ‘digit’, and the other one denotes <span style=""font-weight: bold;"">only</span> ‘finger’ or <span style=""font-weight: bold;"">only</span> ‘toe’.
	Identity: There is a single word, which denotes 'digit' and no word that denotes only ‘finger’ or only ‘toe’.",hubermagnus,,primary,,,false,,,Lexicon,d05dd955055bcfa95f351bcf6ff31ca2,{}
114,'Body hair' and 'feather',"This feature considers the formal identity or differentiation between the terms referring to ‘(body) hair’ and ‘feather’. 
	No difference is made between words, compounds, or phrases. This means that the Ternate Chabacano phrase  <span style=""font-style: italic;"">pilyého del páhro</span>  (lit. ‘hide of bird’) is considered equivalent to the Sranan compound  <span style=""font-style: italic;"">fowru-wiwiri</span>  (lit. ‘bird hair’) or the Norf’k monomorphemic  <span style=""font-style: italic;"">feather</span> . Also, words/phrases referring to ‘(body) hair’ and ‘feather’ are counted as separate expressions even if there is formal overlap between them, as in e.g. Kinubi  <span style=""font-style: italic;"">su-rás</span>  ‘hair’ (lit. ‘hair head’) and  <span style=""font-style: italic;"">su-téri</span>  ‘feather’ (lit. ‘hair bird’). This feature has four values:
	Differentiation: One word denotes ‘(body) hair’ and another (possibly related) word denotes ‘feather’.
	Identity: A single word denotes both ‘(body) hair’  <span style=""font-weight: bold;"">or</span>  ’feather’ and no word denotes only ‘(body) hair’ or only ‘feather’.
	Overlap: This covers cases of semantic overlap, where there are two different (possibly related) words, but one of them denotes ‘(body) hair or feather’, and the other one denotes  <span style=""font-weight: bold;"">only</span>  ‘(body) hair’ or  <span style=""font-weight: bold;"">only</span>  ‘feather’.
	Identity and differentiation: There are at least three words; one denotes ‘(body) hair’, one denotes ‘feather’, and the third denotes ‘(body) hair  <span style=""font-weight: bold;"">or</span>  feather’.",hubermagnus,,primary,,,false,,,Lexicon,c466d445f737398580749da253d5afcc,{}
115,'Hear' and 'smell',"This feature is about the identity or differentiation of the words expressing the meanings ‘to hear’ and ‘to smell’, the latter used transitively. There are four values:
	Differentiation: We speak of differentiation if one word denotes ‘to hear’ and another word denotes ‘to smell’. Note that this value also covers cases of (accidental) phonological overlap, as illustrated by Pidgin Hindustani <span style=""font-style: italic;"">suno</span> ‘to hear’ vs. <span style=""font-style: italic;"">su</span><span style=""font-style: italic;"">ŋ</span><span style=""font-style: italic;"">o</span> ‘to smell’, because they constitute separate words even though they are partially identical.
	Identity: There is identity if a single word is used to express ‘to hear’ or ‘to smell’ and no word exists that denotes only ‘to hear’ or only ‘to smell’.
	Overlap: This refers to cases where there are two different (possibly related) words, but one of them denotes ‘to hear’ and ‘to smell’, and the other one denotes only ‘to hear’ or only ‘to smell’.
	Identity and differentiation: This constellation is a combination of the first two values: There are at least three (possibly related) words; one denotes only ‘to hear’, one denotes only ‘to smell’ (differentiation), and the third denotes ‘to hear’ or ‘to smell’ (identity).",hubermagnus,,primary,,,false,,,Lexicon,855edaaca34d467438b69deda87df67b,{}
116,'Green' and 'blue',"This feature concerns the identity or differentiation of basic colour terms referring to the green and the blue sensation. By basic colour terms we mean words whose “meaning is not predictable from the meaning of [their] parts”, whose “signification is not included in any other color term”, whose “application must not be restricted to a narrow class of objects”, and which are “psychologically salient for informants” (Berlin &amp; Kay 1969: 6). 
– Differentiation: One basic colour term denotes ‘green’ and another denotes ‘blue’.
– Identity: A single basic colour term denotes either ‘green’ or ’blue’ and there is no term that denotes only ‘blue’ or only ‘green’.
– Overlap: This covers cases of semantic overlap, where there are two different basic colour terms, but one of them denotes ‘green/blue’, and the other one denotes only ‘green’ or only ‘blue’.
– Not applicable: The language does not have a basic colour term for 'green' or for 'blue', or both.
The last logically possible constellation, identity and differentiation (there are at least three basic colour terms; one denotes ‘green’, one denotes ‘blue’, and the third denotes ‘green/blue’) is not attested in the <span style=""font-style: italic;"">APiCS</span> sample.",hubermagnus,,primary,,,false,,,Lexicon,5fad2749421805ca88bc7cc5884359ed,{}
117,Female and male animals,"Feature 117 is about the strategies chosen to specify whether animals are female or male. Only productive, non-lexicalized patterns like <span style=""font-style: italic;"">lion-lioness</span> are considered here. Lexicalized pairs such as English <span style=""font-style: italic;"">bull-cow</span> are disregarded, as are unproductive patterns like <span style=""font-style: italic;"">fox-vixen</span>, even if they are etymologically related.
	The question whether the base word, apart from the generic meaning, can also denote only the female or only the male animal (like English<span style=""font-style: italic;""> tiger</span> meaning ‘male and female tiger’ or only ’male tiger’) is irrelevant for this feature. Also irrelevant is the token frequency of the element, that is, sex-denoting elements for animals that are rarely referred to count the same as those for animals that speakers talk about more frequently. As to the type frequency, as long as there is at least one word among all the words for animals that can receive a sex-denoting element, this suffices for a value to be set to “true”, the actual frequency of the particular pattern in comparison to other patterns attested in the same language is indicated in the relative importance field in the <span style=""font-style: italic;"">APiCS</span> database.
	We distinguish between sex-denoting words and affixes, which can either be preposed or postposed. Sex-denoting words can include 3SG pronouns (‘he’, ‘she’), nouns (e.g. ‘man’, ’woman’) or adjectives (e.g. ‘male’, ‘female’).",hubermagnus,,primary,,,true,,,Lexicon,5134d26a3915eb21b7fa55f8017a90ca,{}
118,Syllable onsets,"Syllable onsets, i.e the initial parts of syllables which precede the vowel, may show different degrees of complexity. The three values distinguished in this feature represent the increasing complexity of syllable onsets. On an implicational scale, languages with more complex onset types seem to also have all the less complex types.",maurerphilippe,,primary,,,false,,,Phonology,9fd33bed1195aca6d41ba11e5d796bf4,{}
119,Syllable codas,"The syllable coda is the final part of a syllable which follows the vowel. The four values distinguished in this feature represent the increasing complexity of syllable codas, and languages with more complex coda types also have all the less complex types.",maurerphilippe,,primary,,,false,,,Phonology,8e6248abedd2f7ef9ef796a2ced12204,{}
12,Position of interrogative phrases in content questions,"This feature (based on <span style=""font-style: italic;"">WALS</span> feature 93, by Matthew S. Dryer) concerns the position of interrogative phrases (or ""wh-phrases"") in the clause. In many languages, the interrogative phrase<span style=""font-weight: bold;""> </span>is normally or obligatorily fronted in content questions, i.e. occurs initially in the clause. This is normal in English (e.g. <span style=""font-style: italic;"">What did you see?</span>) and most other European languages. But in other languages, the interrogative phrase can occur in the position in which it would occur in the corresponding declarative (”in situ”), or in another special position (e.g. a preverbal focus position). Here we only distinguish two possibilities: initial and non-initial (i.e. in situ or in some other non-initial position)",haspelmathmartin,,primary,,,true,93A,901,Word order,69ebac115639708d56f6eaa87b2dc297,{}
120,Tone,"Tone refers to pitch contrasts that distinguish different words, either different lexeme stems or different grammatical forms, as e.g. singular vs. plural, or different tenses of the verb. (Tone is also the topic of <span style=""font-style: italic;"">WALS</span> feature 13, by Ian Maddieson.)",maurerphilippe,,primary,,,false,13A,527,Phonology,adaee18aad8a6d97f33d7c4bb439fd59,{}
121,Vowel height distinctions,"This feature asks how many distinctions of vowel height (or aperture) are made in a language. The most typical vowel system has five vowels and three degrees of height (i, e, a, o, u), but systems with four degrees (i, e, ɛ, a, ɔ, o, u) are not uncommon either, and even five degrees (i, ɪ, e, ɛ, a, ɔ, o, ʊ, u) are possible.",haspelmathmartin,,primary,,,false,,,Phonology,82fb496c32100107134ed0c8d41b8ee2,{}
122,Nasal vowels,"This feature concerns nasal vowels, which are generally written with ""n"" or ""m"" following the vowel letter. Nasal vowels are said to be present in a prominent way if there are nasal vowels as major allophones in at least three different heights (e.g. ĩ,<span style=""font-style: italic;""> </span>ɛ̃, ã). Otherwise, they are said to be present in a limited way. (Nasal vowels are also the topic of <span style=""font-style: italic;"">WALS</span> feature 10, by John Hajek.)",haspelmathmartin,,primary,,,false,10A,244,Phonology,213629e9898c6ef920761b2aa79ab3e6,{}
123,The schwa vowel,"This feature concerns the schwa vowel [ə], typically written ""e"", as in English <span style=""font-style: italic;"">asleep</span> [ə'sli:p], or French <span style=""font-style: italic;"">fenêtre</span> [fə'nɛtr(ə)] 'window'.",haspelmathmartin,,primary,,,false,,,Phonology,bb5cfe2131e2e25503c13034786c8d8e,{}
124,Labiodental fricatives,This feature concerns the labiodental fricative obstruents [f] and [v].,haspelmathmartin,,primary,,,false,,,Phonology,fef33f164952cba747f508c50339402e,{}
125,Palato-alveolar sibilants,"This feature concerns the hushing subilants [ʃ] (""sh"") and [ʒ] (""zh"").",haspelmathmartin,,primary,,,false,,,Phonology,c3fc299b9441eee521a1b7ed3531d051,{}
126,The voiced sibilant [z],"This feature concerns the sibilant [z], the voiced counterpart of [s].",haspelmathmartin,,primary,,,false,,,Phonology,e1cbf6e7c6569e3ee8ad490f03b19a91,{}
127,Interdental fricatives,"This feature concerns the interdental fricatives [θ] (voiceless, as in English <span style=""font-style: italic;"">thumb</span>) and [ð] (voiced, as in English <span style=""font-style: italic;"">that</span>).",haspelmathmartin,,primary,,,false,,,Phonology,5501f849d4a4ef7195d4abce2bf4622d,{}
128,The palatal nasal,"This feature concerns the palatal nasal [ɲ] (often written ""ñ"" or ""ny"", and sometimes written ""gn"", or ""nh"", or ""nj"").",haspelmathmartin,,primary,,,false,,,Phonology,22636d861622a5f8ee096441d12a5b57,{}
129,Prenasalized consonants,"Prenasalized consonants are consonants (generally obstruents, most often plosives) which are preceded by nasalization, as in syllables such as [ⁿda], [ ͫbi]. They are generally treated as special complex segments because they involve nasal elements preceding a word-initial obstruent.",haspelmathmartin,,primary,,,false,,,Phonology,3347ea887c140c90c1ca71f1f44ecc30,{}
13,Gender distinctions in personal pronouns,"In this feature (based on <span style=""font-style: italic;"">WALS</span> feature 44, by Anna Siewierska), we look at gender distinctions in independent personal pronouns. Although most European languages (and others) display such gender distinctions, many <span style=""font-style: italic;"">APiCS</span> languages lexically based on these languages do not, whether they are dependent (i.e. bound to the verb, as in Papiamentu <span style=""font-style: italic;"">Mi ta traha</span>. ‘I am working’) or independent (i.e. potentially standing alone as, for instance, in elliptical answers; e.g. Papiamentu <span style=""font-style: italic;"">Ken ta traha?</span> – <span style=""font-style: italic;"">Ami. </span>‘Who is working? – Me.’).",maurerphilippe,,primary,,,false,44A,378,Nominal categories,e379e2992864ea555445d415c1c7e4a6,{}
130,The segment [h],"This feature concerns the segment [h], which tends to be unstable in all languages and is absent in most Romance languages.",haspelmathmartin,,primary,,,false,,,Phonology,91c89fcfa1d70821c4ebfd93faa95b3c,{}
131,p - voiceless bilabial plosive,,,,segment,2D6FB64B3CDC3549EF11DB98A66A9EAD,p,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 1, ""phoible"": {""id"": ""2D6FB64B3CDC3549EF11DB98A66A9EAD"", ""segment"": ""p""}, ""symbol"": ""p"", ""obstruent"": true, ""consonant"": true}"
132,b - voiced bilabial plosive,,,,segment,694212B746622E482E0E58D50036100E,b,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 5, ""phoible"": {""id"": ""694212B746622E482E0E58D50036100E"", ""segment"": ""b""}, ""symbol"": ""b"", ""obstruent"": true, ""consonant"": true}"
133,t - voiceless dental/alveolar plosive,,,,segment,9F90F95459807624A486F03FE5A89978,t,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 7, ""phoible"": {""id"": ""9F90F95459807624A486F03FE5A89978"", ""segment"": ""t""}, ""symbol"": ""t"", ""obstruent"": true, ""consonant"": true}"
134,d - voiced dental/alveolar plosive,,,,segment,E6253384902D489FDB1FE487B7ED4AB2,d,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 9, ""phoible"": {""id"": ""E6253384902D489FDB1FE487B7ED4AB2"", ""segment"": ""d""}, ""symbol"": ""d"", ""obstruent"": true, ""consonant"": true}"
135,t̪ - voiceless interdental plosive,,,,segment,2DA484FF3408444AF11E01960C9C893A,t̪,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 119, ""phoible"": {""id"": ""2DA484FF3408444AF11E01960C9C893A"", ""segment"": ""t\u032a""}, ""symbol"": ""t\u032a"", ""obstruent"": true, ""consonant"": true}"
136,d̪ - voiced interdental plosive,,,,segment,198E3EBE25854A256D6C67EF286FA260,d̪,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": false, ""number"": 383, ""phoible"": {""id"": ""198E3EBE25854A256D6C67EF286FA260"", ""segment"": ""d\u032a""}, ""symbol"": ""d\u032a"", ""obstruent"": true, ""consonant"": true}"
137,t͡s - voiceless dental/alveolar sibilant affricate,,,,segment,106C7FE93D986D037407524D08F3599A,ts,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 24, ""phoible"": {""id"": ""106C7FE93D986D037407524D08F3599A"", ""segment"": ""ts""}, ""symbol"": ""t\u0361s"", ""obstruent"": true, ""consonant"": true}"
138,d͡z - voiced dental/alveolar sibilant affricate,,,,segment,17B1CFA69C0C6AB5362FFDB585C0C7DC,dz,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 80, ""phoible"": {""id"": ""17B1CFA69C0C6AB5362FFDB585C0C7DC"", ""segment"": ""dz""}, ""symbol"": ""d\u0361z"", ""obstruent"": true, ""consonant"": true}"
139,t͡ʃ - voiceless palato-alveolar sibilant affricate,,,,segment,1348048F53951A5E29ABA6D5360925BA,t̠ʃ,false,,,Obstruent consonants,,"{""vowel"": false, ""core_list"": true, ""number"": 25, ""phoible"": {""id"": ""1348048F53951A5E29ABA6D5360925BA"", ""segment"": ""t\u0320\u0283""}, ""symbol"": ""t\u0361\u0283"", ""obstruent"": true, ""consonant"": true}"
14,Dual in independent personal pronouns,"This feature asks whether a language has a grammaticalized dual-plural distinction, e.g. Tok Pisin <span style=""font-style: italic;"">yu</span> 'you (SG)', <span style=""font-style: italic;"">yupela</span> 'you (PL)', <span style=""font-style: italic;"">yutupela</span> 'you (DU)'. In some languages, such a special form occurs in all three persons, and in one language, it occurs only in the first person.",haspelmathmartin,,primary,,,false,,,Nominal categories,4086c35c40b322e8a2db1895ce7d2351,{}
