ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Audio
24-66,24,Laentan el giw a' gud lait.,Ø\tlaentan\tel\tgiw\ta'\tgud\tlait.,Ø\tlantern\tHAB\tgive\tDET.INDF\tgood\tlight,A lantern gives a good light.,,,
24-109,24,Leonard cook dem fesh.,Leonard\tcook\tdem\tfesh.,Leonard\tcook\tDET.DEF.PL\tfish,Leonard cook(ed) the fish.,,,
25-1,25,Wan litel gel bin katimbat wud blanga Jein.,Wan\tlitel\tgel\tbin\tkat-im-bat\twud\tblanga\tJein.,one\tlittle\tgirl\tPST\tcut-TR-PROG\twood\tDAT/POSS\tJane,One/a certain little girl was cutting wood for Jane.,,,
25-2,25,Wan moning jad olgamen bin dringkimbat ti.,Wan\tmoning\tjad\tolgamen\tbin\tdringk-im-bat\tti.,one\tmorning\tDEM\twoman\tPST\tdrink-TR-PROG\ttea,One morning the woman was drinking tea.,,,
25-4,25,Stakmen bin barnim gras.,Stakmen\tbin\tbarn-im\tgras.,stockman\tPST\tburn-TR\tgrass,The stockmen burnt the grass.,,,
25-5,25,Dij kamel im likimbat bo dat kanggaru irrahol.,Dij\tkamel\tim\tlik-im-bat\tbo\tdat\tkanggaru\tirrahol.,PROX\tcamel\t3SG\tlick-TR-PROG\tDAT\tDEM\tkangaroo\tear,This camel is licking the kangaroo's ear.,,,
25-6,25,Orla kid bin tjakam ston.,Orla\tkid\tbin\ttjak-am\tston.,PL\tchild\tPST\tchuck-TR\tstone,The children threw stones.,,,
26-1,26,smal lido ɹak hiʔ [...] ɹol daʊ da ɹuf,smal\tlido\tɹak\thiʔ\t[...]\tɹol\tdaʊ\tda\tɹuf,small\tlittle\trock\thit\t[...]\troll\tdown\tART\troof,Small little rocks hit [...] roll down the roof.,,,
26-2,26,ænti maɪd hæv ɹitn [...] wan buk,ænti\tmaɪd\thæv\tɹitn\t[...]\twan\tbuk,auntie\tSPECUL.JUDG\thave\twrite.PRF\t[...]\tART\tbook,Auntie might have written [...] a book.,,,
26-3,26,dis waɾɛva spɹiʔ wɛn ʤamp intu dis wan gaɪ [...] dis mis was ʧokiŋ diz gaɪz nɛk,dis\twaɾɛva\tspɹiʔ\twɛn\tʤamp\tintu\tdis\twan\tgaɪ\t[...]\tdis\tmis\twas\tʧoki-ŋ\tdiz\tgaɪ-z\tnɛk,DEM\twhatever\tspirit\tPST.PFV\tjump\tinto\tDEM\tone\tguy\t[...]\tDEM\tmist\tCOP.PST\tchoke-PROG\tDEM\tguy-GEN\tneck,This whatever spirit jumped into this one guy [...] this mist was choking this guy's neck.,,,
26-5,26,pɛlɛ laɪk wiski,pɛlɛ\tlaɪk\twiski,Pele\tlike\twhiskey,Pele likes whiskey.,,,
27-1,27,Də mēⁿshi a kri ēn kin.,Də\tmēⁿshi\ta\tkri\tēn\tkin.,DET\tgirl\tPST\tget\tINDF\tchild,The girl had a child.,,,
28-1,28,di tokap furfurtɛ ɛk buku,di\ttoko-apu\tfuru-furu-tɛ\tɛkɛ\tbuku,the\tchild-PL\tsteal-steal-PFV\t1SG\tbook,"The children stole my books (repeatedly, over a period of time).",,,
28-2,28,eni hari das bain eni toro,eni\thari\tdas\tbain\teni\ttoro,3PL\thear\tHAB\tcover\t3PL\tface,Their hair covers their faces.,,,
29-1,29,omdat Jan die water weggooi,omdat\tJan\tdie\twater\tweg-gooi,because\tJohn\tDEF.ART\twater\taway-throws,because John throws away the water,,,
29-2,29,Jan gooi die water weg.,Jan\tgooi\tdie\twater\tweg.,John\tthrows\tDEF.ART\twater\taway,John throws the water away.,,,
29-3,29,Daarom gooi Jan die water weg.,Daarom\tgooi\tJan\tdie\twater\tweg.,therefore\tthrows\tJohn\tDEF.ART\twater\taway,"For that reason, John is throwing away the water.",,,
30-1,30,Katxor morde mininu.,Katxor\tmorde\tmininu.,dog\tbite\tchild,The dog bit the child.,,,
31-1,31,N ta gradise nha fidjus.,N\tta\tgradise\tnha\tfidjus.,1SG\tASP\tthank\tmy\tchildren,I thank my children.,,,
31-2,31,Djedje di Djai atxa mudjer bibu.,Djedje\tdi\tDjai\tatxa\tmudjer\tbibu.,Djedje\tof\tDjai\tfound\twoman\talive,Djedje of Djai's found the woman alive.,,,
32-1,32,Nha tia fazê kmida.,Nha\ttia\tfazê\tkmida.,1SG.POSS\taunt\tmake\tfood,My aunt cooked food.,,,
33-1,33,Djon ta pista si amigus dinyeru senpri ku disgostu.,Djon\tta\tpista\tsi\tamigu-s\tdinheru\tsempri\tku\tdisgostu.,John.SBJ\tHAB\tlend\tPOSS\tfriend-PL.OBL\tmoney.OBJ\talways\twith\tsorrow,John always lends money to his friends with sorrow.,,,
33-17,33,Maria ta beija Djon tudu ora.,Maria\tta\tbeija\tDjon\ttudu\tora.,Maria\tHAB\tkiss\tJohn\tall\thour,Maria kisses John often.,,,
33-60,33,Lion ta montya gazela.,Lion\tta\tmontya\tgazela.,lion\tHAB\thunt\tgazelle.SG,Lions hunt gazelles.,,,
34-1,34,Kacor selantá gatu.,Kacor\tø\tselantá\tgatu.,dog\tPFV\tchase\tcat,The dog chased the cat.,,,
35-1,35,Mese ka kopla ũa lata fanha.,Mese\tka\tkopla\tũa\tlata\tfanha.,master\tIPFV\tbuy\tone\tcan\tflour,The master buys one can of flour.,,,
36-1,36,Tepu nakulu no Ngola ka zi kai no kota mionga [...].,Tepu\tnakulu\tno\tNgola\tka\tzi\tkai\tno\tkota\tmionga\t[...].,time\told\twe\tAngolar\tHAB\tmake\thouse\tPOSS.1PL\tside\tsee\t[...],"In the olden days, we, the Angolars, used to build our houses on the sea side [...].",,,
37-1,37,[...] ê kum'inhemi sê pe.,[...]\tê\tkume\tinhemi\tsê\tpe.,[...]\t3SG\teat\tyam\tDEM\tIDEO,[...] He ate the whole yam.,,,
37-16,37,Mene ka kopa pêxi na fya sempi.,Mene\tka\tkopa\tpêxi\tna\tfya\tsempi.,Mene\tHAB\tbuy\tfish\tLOC\tmarket\talways,Mene always buys fish at the market.,,,
37-34,37,[...] arê vya manda sodadi.,[...]\tarê\tvya\tmanda\tsodadi.,[...]\tking\tREP\tsend\tsoldier,[...] the king sent soldiers again.,,,
38-1,38,No skéve wan xat.,No\tskéve\twan\txata.,1PL\twrite\tART\tletter,We write a letter.,,,
38-16,38,May laba mina sunzu.,Mai\tlaba\tmina\tsunzu.,mother\twash\tchild\tdirty,The mother washes the dirty child.,,,
39-1,39,Ryan tə lãbe biskit.,Ryan\ttə\tlãb-e\tbiskit.,Ryan\tIPFV.NPST\tlick-INF\tbiscuit,Ryan is licking the biscuit.,,,
39-2,39,Jacob tə faze vɔs də kɔb.,Jacob\ttə\tfaz-e\tvɔs\tdə\tkɔb.,Jacob\tIPFV.NPST\tmake-INF\tvoice\tof\tsnake,Jacob is imitating the voice of a snake (lit. Jacob is making the voice of a snake).,,,
39-3,39,El nã sab purtəgez.,El\tnã\tsab\tpurtəgez.,3\tNEG\tknow.NPST\tPortuguese,He doesn't know Portuguese.,,,
39-4,39,Nĩge nã apiŋo pex.,Nĩge\tnã\tapiŋ-o\tpex.,nobody\tNEG\tcatch-PST\tfish,Nobody caught fish.,,,
40-2,40,Barber tiran ispi su. Ya korto su rhab.,Barber\ttiran\tispi\tsu.\tYa\tkorto\tsu\trhab.,barber\tpull.out.PROG\tthorn\tPOSS.3SG\tPST\tcut.PST\t3SG\ttail,The barber was pulling the thorn out of his tail (with a knife). He cut off his tail.,,,
40-44,40,Teru pelo ũ ũ prat yade.,Teru\tpelo\tũ\tũ\tprat\tyade.,Teru\tOBJ.3PL\tone\tone\tplate\tgave,Teru gave each one of them a plate.,,,
41-188,41,avara  nosa       mahanaaruntu     um  pesaam alaa  ɔɔrta    jatomaa,avara\tnosa\tmahanaar-untu\tum\tpesaam\talaa\tɔɔrta\tjaa-tomaa,now\t1PL.GEN\tson-LOC\tone\tperson\tthere\tland\tPST-buy,Now one of our sons has bought land there.,,,
42-1,42,Taté ja olá ku bela Rozil,Taté\tja\tolá\tku\tbela\tRozil,Taté\tPFV\tsee\tACC\told\tRozil,Taté saw old Rozil.,,,
43-1,43,Djenti kumi brot [...].,Djenti\tkumi\tbrot\t[...].,people\teat\tbread\t[...],People eat bread [...].,,,
44-1,44,Ya larga Maria quel gumamela colerao [...].,Ya\tlarga\tMaria\tquel\tgumamela\tcolerao\t[...].,PFV\tleave\tMaria\tthe\thibiscus\tred\t[...],Maria left the red hibiscus [...].,,,
44-2,44,Ta yuda bueno el Señor con todo Mardicas.,Ta\tyuda\tbueno\tel\tSeñor\tcon\ttodo\tMardicas.,IPFV\thelp\tgood\tDEF\tLord\tOBJ\tall\tmardicas,The Lord helps all the Mardicas well.,,,
44-3,44,Ya kumpra plor el baguntáw.,Ya\tkumpra\tplor\tel\tbaguntáw.,PFV\tbuy\tflower\tthe\tyoung.man,The young man bought a flower.,,,
45-1,45,Ya coge el mga pulis con el ladron.,Ya\tcoge\tel\tmga\tpulis\tcon\tel\tladron.,PFV\tcatch\tthe\tPL\tpolice\tOBJ\tthe\tthief,The policemen caught the thief.,,,
45-2,45,Ta cumi hamon el hombre.,Ta\tcumi\thamon\tel\thombre.,IPFV\teat\tham\tDEF\tman,The man is eating ham.,,,
46-1,46,Ya-kurtá yo kunéste kárne kon kuchílyo.,Ya-kurtá\tyo\tkunéste\tkárne\tkon\tkuchílyo.,PFV-cut\t1SG\tOBJ.this\tmeat\twith\tknife,I cut this meat with a knife.,,,
46-2,46,Ya-pegá 'le konel péhro.,Ya-pegá\t'le\tkonel\tpéhro.,PRF-hit\the\tOBJ.the\tdog,He hit the dog.,,,
46-3,46,Ta-tomá 'le múcho bíno.,Ta-tomá\t'le\tmúcho\tbíno.,IPFV-drink\t3SG\tmuch\trum,S/he is drinking a lot of rum.,,,
46-4,46,Hendéq 'le ta-komé kárne?,Hendéq\t'le\tta-komé\tkárne?,NEG\t3SG\teat\tmeat,S/he doesn't eat meat?,,,
46-5,46,Ta canta yo ‘te cancion.,Ta-kantá\tyo\t(és)te\tkansyón.,IPFV-sing\t1SG\tthis\tsong,I am singing this song.,,,
46-6,46,Éle ya-matá pwérko gat alyá gránde.,Éle\tya-matá\tpwérko\tgat\talyá\tgránde.,s/he\tPRF-kill\tpig\treally\tthere\tbig,S/he killed a really big pig there.,,,
46-7,46,Silá dos el ya-matá.,Silá\tdos\tel\tya-matá.,3PL\ttwo\t3SG\tPRF-kill,The two of them killed him.,,,
46-9,46,Ya-prepará ei ómbre un baróto.,Ya-prepará\tei\tómbre\tun\tbaróto.,PFV-prepare\tART\tman\ta\tbaroto,The man prepared a small boat (baroto).,,,
46-10,46,Ya-mirá el mga ómbre un póno de ságing.,Ya-mirá\tel\tmga\tómbre\tun\tpóno\tde\tságing.,PFV-see\tART\tPL\tman\ta\ttree\tof\tbanana,The men saw a banana tree.,,,
46-11,46,Ya-mirá el táta su sitwasyón.,Ya-mirá\tel\ttáta\tsu\tsitwasyón.,PFV-see\tART\tfather\this\tsituation,The father saw his situation.,,,
46-50,46,El marído tyéne kósa ta-buská.,El\tmarído\ttyéne\tkósa\tta-buská.,ART\thusband\tEXIST\twhat\tIPFV-seek,The husband is looking for something.,,,
46-74,46,El mga ómbre ya-kargá tres maléta káda úno.,El\tmga\tómbre\tya-kargá\ttres\tmaléta\tkáda\túno.,ART\tPL\tman\tPFV-carry\tthree\tsuitcase\teach\tone,The men carried three suitcases each.,,,
47-1,47,Awe mainta mi a bai subi Hooiberg.,Awe\tmainta\tmi\ta\tbai\tsubi\tHooiberg.,today\tmorning\t1SG\tPFV\tgo\tclimb\tHooiberg,This morning I climbed Hooiberg.,,,
47-3,47,Maria a duna Wanchu un buki.,Maria\ta\tduna\tWanchu\tun\tbuki.,Maria\tPFV\tgive\tWanchu\tINDF\tbook,Maria gave Wanchu a book.,,,
48-1,48,Ana kelé komblá un koka kola.,Ana\tkelé\tkomblá\tun\tkoka\tkola.,Ana\twant.INF\tbuy.INF\tINDF\tCoca\tCola,Ana wants to buy a Coca Cola.,,,
48-3,48,Fautina asé bebé mucho sebesa nu.,Fautina\tasé\tbebé\tmucho\tsebesa\tnu.,Faustina\tHAB\tdrink\tmuch\tbeer\tNEG,Faustina does not (usually) drink much beer.,,,
49-1,49,Siklòn nan kraze kay la.,Siklòn\tnan\tkraze\tkay\tla.,cyclone\tDEF\tdemolish\thouse\tDEF,The cyclone demolished the house.,,,
49-2,49,Bouki t ap danse yon bolewo.,Bouki\tt\tap\tdanse\tyon\tbolewo.,Bouki\tANT\tINACC\tdance\tINDF\tbolero,Bouki was dancing a bolero.,,,
50-1,50,Pyè ka manjé poul.,Pyè\tka\tmanjé\tpoul.,Peter\tPROG\teat\tchicken,Peter is eating chicken.,,,
50-2,50,I pran liv-la.,I\tpran\tliv-la.,3SG\ttake\tbook-DEF,He took the book.,,,
51-1,51,Piè ka manjé poul.,Piè\tka\tmanjé\tpoul.,Peter\tPROG\teat\tchicken,Peter is eating chicken.,,,
51-2,51,I pran liv-la.,I\tpran\tliv-la.,he\ttake\tbook-DEF,He took the book.,,,
52-1,52,mo manman bat timoun-yan,mo\tmanman\tbat\ttimoun-yan,my\tmother\tbeat\tchildren-ART,My mother beat the children.,,,
53-1,53,Bouki trape banjo-la.,Bouki\ttrape\t<banjo>-la.,Bouki\tgrab\tbanjo-ART.DEF.SG,Bouki grabbed the banjo.,,,
53-2,53,Mo garson achte en bel lalyans pou so kalin.,Mo\tgarson\tachte\ten\tbel\tlalyans\tpou\tso\tkalin.,1SG.POSS\tson\tbuy.PST\tART.INDF\tpretty\twedding.ring\tfor\t3SG.POSS.\tgirlfriend,My son bought a pretty wedding ring for his girlfriend.,,,
54-1,54,Le prèt malbar i pran in ti kouto.,Lë\tprèt\tmalbar\ti\tpran\ten\tti\tkouto.,DEF\tpriest\tIndian\tFIN\ttake\tINDF\tsmall\tknife,The Indian priest takes a small knife.,,,
55-1,55,Pol pu bat Zaṅ,Pol\tpu\tbat\tZaṅ,Paul\tFUT\thit\tJohn,Paul will hit John.,,,
56-1,56,Nou griy nou kafe.,Nou\tgriy\tnou\tkafe.,1PL\troast\tPOSS.1PL\tcoffee,We roasted our coffee.,,,
56-2,56,Mari ti anbras Zan tanzantan.,Mari\tti\tanbras\tZan\ttanzantan.,Mary\tPST\tkiss\tJean\toften,Mary often kissed Jean.,,,
56-3,56,Lion i manz gazel.,Lion\ti\tmanz\tgazel.,lion\tPM\teat\tgazelle,Lions eat gazelles.,,,
57-1,57,ma vwa kas sa le ŋgra,ma\tvwa\tkas\tsa\tle\tŋgra,1SG\tsee\thouse\tREL\tSI\tbig,I see the big house.,,,
57-57,57,njo le mwaʃe pa: sa le vje,njo\tle\tmwaʃe\tpa:\tsa\tle\tvje,woman\tPM\teat\tbread\tREL\tSI\told,The woman eats some old bread.,,,
57-119,57,"tule per-la, sola koma:se fer tule leŋglis partu","tule\tper-la,\tsola\tkoma:se\tfer\ttule\tleŋglis\tpartu",PL\tFather-DEM/DEF\t3PL\tbegin\tmake\tPL\tchurch\teverywhere,The Fathers began to construct churches everywhere.,,,
58-1,58,Yandi baka mbongo sumb-il-a mono mukanda.,Yandi\tbaka\tmbongo\tsumb-il-a\tmono\tmukanda.,he\ttake.NARR\tmoney\tbuy-APPL-NARR\tme\tbook,He took money and bought me a/the book. OR: He bought me the/a book with (the) money.,,,
58-2,58,Bo bula bo mosi.,Bo\tbula\tbo\tmosi.,3PL\thit\t3PL\tone,They hit themselves.,,,
58-45,58,Konso bakala nat-aka valise zole.,Konso\tbakala\tnat-aka\tvalise\tzole.,each\tman/male\tcarry-PST\tsuitcase\ttwo,Each man carried two suitcases.,,,
59-1,59,"melenge ti lo oko amu koli, kol ni ate zo","melenge\tti\tlo\toko\ta-mu\tkoli,\tkoli\tni\ta-te\tzo",child\tof\t3SG\tone\tPM-take\tman\tman\tDET\tPM-eat\tperson,His one child married a man; the man ate people.,,,
59-2,59,lo ke faa gi zo,lo\tke\tfaa\tgi\tzo,3SG\tCOP\tkill\tonly\tperson,He was (habitually) killing only people (not animals).,,,
59-3,59,"to kol ti ni aga amu samba na lo, [...]","tongana\tkoli'\tti\tni\ta-ga\ta-mu\tsamba\tna\tlo,\t[...]",if\tman\tof\t1SG.LOG\tPM-come\tPM-give\tbeer\tPREP\t3SG\t[...],"(She said) if my husband should come and offer you beer, [...].",,,
59-4,59,kol na aleke zembe kwe,koli\tni\taleke\tzembe\tkwe,man\tDET\tSM.prepare\tknife\tall,The husband prepared the knife to perfection. OR: The husband sharpened the knife to perfection.,,,
59-5,59,kol ni amu lege ahon' na ngonda,koli\tni\tamu\tlege\tahon'\tna\tngonda,man\tDET\tSM.take\tpath\tSM.depart\tPREP\tbush,The husband took off and went to the bush.,,,
59-6,59,lango agbu le ti kogara na ape,lango\ta-gbu\tle\tti\tkogara\tni\tape,sleep\tPM-grab\teye\tof\tin-law\tDET\tNEG,The mother-in-law was not overcome by sleep.,,,
60-1,60,Pierre amónákí Pauline,Pierre\ta-món-ákí\tPauline,Pierre\t3SG-see-PST\tPauline,Pierre saw Pauline.,,,
61-1,61,Lo kati buka lo inja.,Lo\tkati\tbuk-a\tlo\tinja.,ART\tcat\tsee-PRS\tART\tdog.,The cat is looking at the dog. OR: The cat looks at the dog.,,,
62-1,62,nhalwá átányá shuhé na afá iʔí haráza,nhalwa\tá-tanya\tshuhe\tna\tafa\tiʔí\tharaza,Nhalwa\t3SG-intervene\tleopard\twith\tgoat(s)\there\triver:in,Nhalwa intervened the leopard and the goat here at the river.,,,
63-1,63,banát kúlu bi-lébisi skirt towíl,banát\tkúlu\tbi-lébisi\tskirt\ttowíl,girl.PL\tall\tTAM-wear\tskirt\tlong,The girls wear long skirts.,,,
64-1,64,ásed gekátulu nas,ásed\tge=kátulu\tnas,lion\tPROG=kill\tpeople,The lion kills people.,,,
65-1,65,Xəʧʒu lisa kupila.,Xəʧʒu\tlisa\tkupi-la.,Xeczu\trice\tbuy-PFV,Xeczu bought rice.,,,
65-2,65,Kitaisa davali minia ixiɲ.,Kitaisa\tdava-li\tminia\tixiɲ.,Chinese\tgive-PFV\t1SG\t3PL,They gave me to a Chinese.,,,
65-3,65,Lusəki musina pjotə wotka nogo.,Lusəki\tmusina\tpjotə\twotka\tnogo.,Russian\tman\tdrink.3SG.PRS\tvodka\ta.lot,Russian men drink too much alcohol.,,,
65-4,65,Rusəkə xəleba kuʃi.,Rusəkə\txəleba\tkuʃi.,Russian\tbread\teat,Russians eat bread.,,,
65-5,65,Kniʃka xoʧi d'elaj eta liudi.,Kniʃka\txoʧi\td'elaj\teta\tliudi.,book\twant\tmake\tthis\tperson,These people wish to compose a book.,,,
65-6,65,Ty babəsəka delaj kuxajka.,Ty\tbabəsəka\tdelaj\tkuxajka.,2SG\tgrandmother\tmake\tquilted.coat,Your grandmother used to make quilted coats.,,,
66-1,66,Go bicaya  luyang.,Go\tbicaya\tlu-yang.,1SG\tbelieve\t2SG-ACC.DEF,I believe you. (NOT: I believed you.),,,
66-2,66,Farida  dua pong  yang     siklatan.,Farida\tdua\tpong\tyang\tsi-klatan.,Farida\ttwo\ttree\tACC.DEF\tPST-look,Farida looked at the two trees.,,,
66-3,66,Anak nasi simakan.,Anak\tnasi\tsi-makan.,child\trice\tPST-eat,The child ate rice.,,,
66-71,66,Pompanganak ekasi (aða) kumbang attu deppe     ummana.,Pompang-anak\te-kasi\t(aða)\tkumbang\tattu\tde-pe\tumma-na.,female-child\tASP-give\t(AUX)\tflower\tINDF\t3SG-POSS\tmother-DAT,The girl has given a flower to her mother.,,,
