ID,Parameter_ID,Name,Description,Number,icon,color,abbr
20-2,20,Inclusory pronoun juxtaposed with subset NP,,2,pie-100-FFFF00.png,FFFF00,Inclusory pronoun juxtaposed
20-3,20,Inclusory pronoun plus marker plus subset NP,,3,pie-100-FF0000.png,FF0000,Inclusory pronoun plus marker
20-4,20,Inclusory pronoun plus numeral plus subset NP,,4,pie-100-ADD8E6.png,ADD8E6,Inclusory pronoun plus numeral
20-5,20,Singular pronoun juxtaposed with other conjunct,,5,pie-100-FFFFFF.png,FFFFFF,Pronoun juxtaposed
21-1,21,Interrogative-based indefinites,,1,pie-100-0000FF.png,0000FF,Interrogative-based indefinites
21-2,21,Generic-noun-based indefinites,,2,pie-100-FF0000.png,FF0000,Generic-noun-based indefinites
21-5,21,Old generic-noun-based indefinites continuing somebody/something,,3,pie-100-FF7F00.png,FF7F00,Old generic-noun-based indefinites
21-3,21,Special indefinites,,4,pie-100-000000.png,000000,Special indefinites
21-4,21,Existential construction,,5,pie-100-FFFFFF.png,FFFFFF,Existential construction
22-1,22,No plural marking,,1,pie-100-FFFFFF.png,FFFFFF,No plural marking
22-2,22,Variable plural marking of human nouns,,2,pie-100-FFFF00.png,FFFF00,Variable plural marking of human nouns
22-4,22,Variable plural marking of human or inanimate nouns,,3,pie-100-FF7F00.png,FF7F00,Variable plural marking of all nouns
22-6,22,Invariant plural marking,,4,pie-100-FF0000.png,FF0000,Invariant plural marking
23-1,23,Plural is not expressed overtly,,1,pie-100-FFFFFF.png,FFFFFF,Plural is not expressed overtly
23-2,23,Plural prefix,,2,pie-100-FF0000.png,FF0000,Plural prefix
23-3,23,Plural suffix,,3,pie-100-0000FF.png,0000FF,Plural suffix
23-4,23,Plural stem change,,4,pie-100-FFFF00.png,FFFF00,Plural stem change
23-5,23,Plural tone or stress change,,5,pie-100-964B00.png,964B00,Plural tone or stress change
23-6,23,Plural reduplication,,6,pie-100-800080.png,800080,Plural reduplication
23-7,23,Plural word preceding the noun,,7,pie-100-FFB6C1.png,FFB6C1,Plural word preceding the noun
23-8,23,Plural word following the noun,,8,pie-100-ADD8E6.png,ADD8E6,Plural word following the noun
24-1,24,Associative plural marker identical to additive plural marker,,1,pie-100-FF0000.png,FF0000,Associative identical to ordinary plural
24-2,24,Special associative plural marker identical to 3rd plural pronoun,,2,pie-100-0000FF.png,0000FF,Associative identical to 3rd plural pronoun
24-3,24,Other special associative plural marker,,3,pie-100-FFFF00.png,FFFF00,Other special associative plural marker
24-4,24,No associative plural marker,,4,pie-100-FFFFFF.png,FFFFFF,No associative plural marker
25-1,25,No nominal plural word,,1,pie-100-FFFFFF.png,FFFFFF,No nominal plural word
25-2,25,Identity,,2,pie-100-FFFF00.png,FFFF00,Identity
25-3,25,Differentiation,,3,pie-100-FF0000.png,FF0000,Differentiation
25-4,25,Overlap,,4,pie-100-FF7F00.png,FF7F00,Overlap
26-1,26,No reduplication,,1,pie-100-FFFFFF.png,FFFFFF,No reduplication
26-2,26,Only iconic functions,,2,pie-100-FFFF00.png,FFFF00,Only iconic functions
26-5,26,Attenuating function,,3,pie-100-FF0000.png,FF0000,Attenuating function
26-6,26,Word-class-changing function,,4,pie-100-0000FF.png,0000FF,Word-class changing function
26-8,26,Attenuating and word-class-changing function,,5,pie-100-000000.png,000000,Attenuating and word-class changing function
27-1,27,Antidual,,1,pie-100-FF0000.png,FF0000,Antidual
27-2,27,No antidual,,2,pie-100-FFFFFF.png,FFFFFF,No antidual
28-1,28,Definite article distinct from demonstratives,,1,pie-100-FF0000.png,FF0000,Definite article distinct from demonstratives
28-2,28,Definite article identical to a demonstrative,,2,pie-100-FFFF00.png,FFFF00,Definite article identical to a demonstrative
28-4,28,"No definite article, but indefinite article",,3,pie-100-0000FF.png,0000FF,"No definite article, but indefinite article"
28-5,28,Neither definite nor indefinite article,,4,pie-100-FFFFFF.png,FFFFFF,Neither definite nor indefinite article
29-1,29,Indefinite article distinct from numeral ‘one’,,1,pie-100-FF0000.png,FF0000,Indefinite article distinct from ‘one’
29-2,29,Indefinite article identical to numeral ‘one’,,2,pie-100-FFFF00.png,FFFF00,Indefinite article identical to ‘one’
29-4,29,"No indefinite article, but definite article",,3,pie-100-0000FF.png,0000FF,"No indefinite article, but definite article"
29-5,29,Neither indefinite nor definite article,,4,pie-100-FFFFFF.png,FFFFFF,Neither indefinite nor definite article
30-1,30,Language without definite and indefinite article,,1,pie-100-FFFFFF.png,FFFFFF,Language without definite/indefinite article
30-2,30,Bare singular noun phrase in languages with definite article,,2,pie-100-FF0000.png,FF0000,Bare singular NP (with definite article)
30-3,30,Bare singular noun phrase in languages without definite article,,3,pie-100-FFB6C1.png,FFB6C1,Bare singular NP (without definite article)
30-4,30,Singular noun phrase with definite article,,4,pie-100-0000FF.png,0000FF,Singular NP with definite article
30-5,30,Bare plural noun phrase in languages with definite article,,5,pie-100-FFFF00.png,FFFF00,Bare plural NP (with definite article)
30-6,30,Bare plural noun phrase in languages without definite article,,6,pie-100-FF7F00.png,FF7F00,Bare plural NP (without definite article)
30-7,30,Plural noun phrase with definite article,,7,pie-100-800080.png,800080,Plural NP with definite article
30-8,30,Singular noun phrase  with indefinite articles,,8,pie-100-964B00.png,964B00,Singular NP with indefinite article
30-9,30,Singular noun phrase with adnominal possessive,,9,pie-100-000000.png,000000,Singular NP with adnominal possessive
31-1,31,Co-occurrence,,1,pie-100-0000FF.png,0000FF,Co-occurrence
31-2,31,No co-occurrence,,2,pie-100-FF0000.png,FF0000,No co-occurrence
31-3,31,Demonstrative identical to definite article,,3,pie-100-FFFF00.png,FFFF00,Demonstrative identical to definite article
31-4,31,No definite article exists,,4,pie-100-FFFFFF.png,FFFFFF,No definite article exists
32-1,32,Same forms,,1,pie-100-FFFF00.png,FFFF00,Same forms
32-2,32,Different forms,,2,pie-100-FF0000.png,FF0000,Different forms
32-3,32,"Same stems, different inflectional features",,3,pie-100-0000FF.png,0000FF,"Same stems, different inflectional features"
33-1,33,No distance contrast,,1,pie-100-FFFFFF.png,FFFFFF,No distance contrast
33-2,33,Two-way contrast,,2,pie-100-FFFF00.png,FFFF00,Two-way contrast
33-3,33,Three-way contrast,,3,pie-100-FF0000.png,FF0000,Three-way contrast
33-4,33,Four-way contrast,,4,pie-100-000000.png,000000,Four-way contrast
34-2,34,Distributivity marked by reduplication,,1,pie-100-FF0000.png,FF0000,Distributivity marked by reduplication
34-1,34,No special adjacent distributive numerals,,2,pie-100-FFFFFF.png,FFFFFF,No special adjacent distributive numerals
35-1,35,Ordinal numerals do not exist,,1,pie-100-FFFFFF.png,FFFFFF,Ordinals do not exist
35-3,35,Cardinal and ordinal numerals are identical except for ‘one’ and ‘first’,,2,pie-100-FF7F00.png,FF7F00,All ordinals identical except for 'first'
35-4,35,All ordinal numerals are synchronically derived from cardinal numerals,,3,pie-100-FF0000.png,FF0000,All ordinals synchronically derived
35-5,35,"All ordinal numerals are synchronically derived from cardinal numerals, but ‘first’ may also be suppletive",,4,pie-100-800080.png,800080,"'First' suppl. or derived, others derived"
35-6,35,"'First' is suppletive, all other numerals are synchronically derived from cardinal numerals",,5,pie-100-0000FF.png,0000FF,"'First' suppletive, others derived"
35-7,35,"‘First’, ‘second’, or more are suppletive, the others are synchronically derived from cardinal numerals",,6,pie-100-FFB6C1.png,FFB6C1,"'First' etc. suppletive, others derived"
35-2,35,All ordinal numerals are suppletive,,7,pie-100-FFFF00.png,FFFF00,All ordinals suppletive
35-8,35,Other solutions,,8,pie-100-964B00.png,964B00,Other solutions
36-1,36,The language has no numeral classifiers,,1,pie-100-FFFFFF.png,FFFFFF,The language has no numeral classifiers
36-2,36,The language has numeral classifiers,,2,pie-100-FF0000.png,FF0000,The language has numeral classifiers
37-1,37,Preceding word,,1,pie-100-FF0000.png,FF0000,Preceding word
37-2,37,Following word,,2,pie-100-0000FF.png,0000FF,Following word
37-5,37,Adpositional phrase preceding the possessum,,3,pie-100-FFB6C1.png,FFB6C1,Adpositional phrase preceding the possessum
37-6,37,Adpositional phrase following the possessum,,4,pie-100-ADD8E6.png,ADD8E6,Adpositional phrase following the possessum
37-3,37,Prefix,,5,pie-100-FFFF00.png,FFFF00,Prefix
37-4,37,Suffix,,6,pie-100-000000.png,000000,Suffix
38-2,38,Adpositional or case marking of possessor,,1,pie-100-0000FF.png,0000FF,Adpositional or case marking of possessor
38-4,38,No marking,,2,pie-100-FFFFFF.png,FFFFFF,No marking
38-1,38,Person-indexing on possessum,,3,pie-100-FF0000.png,FF0000,Person-indexing on possessum
39-1,39,Identical to dependent pronominal possessor,,1,pie-100-FFFF00.png,FFFF00,Identical to dependent pronominal possessor
39-2,39,Special preposition plus pronoun,,2,pie-100-FFB6C1.png,FFB6C1,Special preposition plus pronoun
39-3,39,Special word plus dependent pronominal possessor,,3,pie-100-FF0000.png,FF0000,Special word plus dependent possessor
39-4,39,Special pronoun form,,4,pie-100-0000FF.png,0000FF,Special pronoun form
40-1,40,No adjective agrees with the noun,,1,pie-100-FFFFFF.png,FFFFFF,No adjective agrees with the noun
40-2,40,Only few adjectives agree with the noun,,2,pie-100-FFFF00.png,FFFF00,Only few adjectives agree with the noun
40-3,40,Many adjectives agree with the noun,,3,pie-100-FF7F00.png,FF7F00,Many adjectives agree with the noun
40-4,40,All adjectives agree with the noun,,4,pie-100-FF0000.png,FF0000,All adjectives agree with the noun
41-1,41,Adjective is marked,,1,pie-100-FF0000.png,FF0000,Adjective is marked
41-2,41,Adjective is not marked,,2,pie-100-FFFFFF.png,FFFFFF,Adjective is not marked
42-7,42,Primary surpass marking,,1,pie-100-FF7F00.png,FF7F00,Primary surpass marking
42-1,42,Secondary surpass marking,,2,pie-100-FF0000.png,FF0000,Secondary surpass marking
42-3,42,Locational marking,,3,pie-100-0000FF.png,0000FF,Locational marking
42-2,42,Particle marking,,4,pie-100-FFFF00.png,FFFF00,Particle marking
42-8,42,Locational plus particle marking,,5,pie-100-ADD8E6.png,ADD8E6,Locational plus particle marking
42-5,42,Standard is not overtly marked,,6,pie-100-FFFFFF.png,FFFFFF,Standard is not overtly marked
42-4,42,Conjoined marking,,7,pie-100-000000.png,000000,Conjoined marking
43-1,43,Immediately preceding the verb,,1,pie-100-FF0000.png,FF0000,Immediately preceding the verb
43-2,43,Immediately following the verb,,2,pie-100-0000FF.png,0000FF,Immediately following the verb
43-3,43,In a leftward position,,3,pie-100-FFB6C1.png,FFB6C1,In a leftward position
43-4,43,In a rightward position,,4,pie-100-ADD8E6.png,ADD8E6,In a rightward position
43-5,43,No TAM markers,,5,pie-100-FFFFFF.png,FFFFFF,No TAM markers
44-1,44,Tense-Mood-Aspect,,1,pie-100-0000FF.png,0000FF,Tense-Mood-Aspect
44-2,44,Tense-Aspect-Mood,,2,pie-100-FFFF00.png,FFFF00,Tense-Aspect-Mood
44-4,44,Mood-Tense-Aspect,,3,pie-100-FF0000.png,FF0000,Mood-Tense-Aspect
44-8,44,The feature does not apply,,4,pie-100-FFFFFF.png,FFFFFF,The feature does not apply
45-1,45,Affix,,1,pie-100-000000.png,000000,Affix
45-2,45,"Particle, nothing can intervene",,2,pie-100-964B00.png,964B00,"Particle, nothing can intervene"
45-3,45,"Particle, only grammatical markers can intervene",,3,pie-100-FF0000.png,FF0000,"Particle, grammatical markers can intervene"
45-4,45,"Particle, a few lexical items may intervene",,4,pie-100-FF7F00.png,FF7F00,"Particle, a few lexical items may intervene"
45-5,45,"Particle, open-class items may intervene",,5,pie-100-FFFF00.png,FFFF00,"Particle, open-class items may intervene"
45-7,45,"Particle, clause-second position",,6,pie-100-0000FF.png,0000FF,"Particle, clause-second position"
45-6,45,No overt past marker exists,,7,pie-100-FFFFFF.png,FFFFFF,No past marker
46-1,46,Affix,,1,pie-100-000000.png,000000,Affix
46-2,46,"Particle, nothing can intervene",,2,pie-100-964B00.png,964B00,"Particle, nothing can intervene"
46-3,46,"Particle, only grammatical markers can intervene",,3,pie-100-FF0000.png,FF0000,"Particle, grammatical markers can intervene"
46-4,46,"Particle, a few lexical items may intervene",,4,pie-100-FF7F00.png,FF7F00,"Particle, a few lexical items may intervene"
46-5,46,"Particle, open-class items may intervene",,5,pie-100-FFFF00.png,FFFF00,"Particle, open-class items may intervene"
46-6,46,No overt progressive marker,,6,pie-100-FFFFFF.png,FFFFFF,No overt progressive marker
47-1,47,No overt progressive marker,,1,pie-100-FFFFFF.png,FFFFFF,No overt progressive marker
47-2,47,Only progressive function,,2,pie-100-FFFF00.png,FFFF00,Only progressive function
47-4,47,Progressive and habitual,,3,pie-100-FF0000.png,FF0000,Progressive and habitual
47-3,47,Progressive and current state,,4,pie-100-FF7F00.png,FF7F00,Progressive and current state
47-5,47,Progressive and future,,5,pie-100-ADD8E6.png,ADD8E6,Progressive and future
47-6,47,"Progressive, habitual, and current state",,6,pie-100-964B00.png,964B00,"Progressive, habitual, and current state"
47-8,47,"Progressive, habitual, and future",,7,pie-100-0000FF.png,0000FF,"Progressive, habitual, and future"
47-9,47,"Progressive, habitual, current state, and future",,8,pie-100-000000.png,000000,"Progressive, habit., current state, and fut."
48-1,48,No overt habitual marker,,1,pie-100-FFFFFF.png,FFFFFF,No overt habitual marker
48-2,48,Only habitual function,,2,pie-100-FFFF00.png,FFFF00,Only habitual function
48-4,48,Habitual and progressive,,3,pie-100-FF0000.png,FF0000,Habitual and progressive
48-3,48,Habitual and current state,,4,pie-100-FF7F00.png,FF7F00,Habitual and current state
48-5,48,Habitual and future,,5,pie-100-ADD8E6.png,ADD8E6,Habitual and future
48-6,48,"Habitual, progressive, and current state",,6,pie-100-0000FF.png,0000FF,"Habitual, progressive, and current state"
48-7,48,"Habitual, current state, and future",,7,pie-100-800080.png,800080,"Habitual, current state, and future"
48-8,48,"Habitual, progressive and future",,8,pie-100-964B00.png,964B00,"Habitual, progressive, and future"
48-9,48,"Habitual, progressive, current state, and future",,9,pie-100-000000.png,000000,"Habitual, prog., current state, and future"
49-1,49,Purely aspectual system,,1,pie-100-FF0000.png,FF0000,Purely aspectual system
49-2,49,Purely temporal system,,2,pie-100-0000FF.png,0000FF,Purely temporal system
49-3,49,Mixed aspectual-temporal system,,3,pie-100-FFFF00.png,FFFF00,Mixed aspectual-temporal system
49-4,49,No or only one tense or aspect marker,,4,pie-100-FFFFFF.png,FFFFFF,No or only one tense or aspect marker
50-1,50,Same TAM marking in negated clauses,,1,pie-100-0000FF.png,0000FF,Same TAM marking in negated clauses
50-2,50,Reduced TAM marking in negated clauses,,2,pie-100-FFFF00.png,FFFF00,Reduced TAM marking in negated clauses
50-3,50,Different TAM marking in negated clauses,,3,pie-100-FF0000.png,FF0000,Different TAM marking in negated clauses
50-4,50,Reduced and different TAM marking in negated clauses,,4,pie-100-FF7F00.png,FF7F00,Reduced and different TAM marking
50-6,50,No TAM marker,,5,pie-100-FFFFFF.png,FFFFFF,No TAM marker
51-3,51,Stative verbs with present reference and dynamic verbs with past perfective reference are both unmarked,,1,pie-100-FF0000.png,FF0000,Stative and dynamic verbs both unmarked
51-6,51,Stative verbs with present reference and dynamic verbs with past perfective reference are marked with the same overt marker,,2,pie-100-FF7F00.png,FF7F00,Stative and dynamic verbs marked the same way
51-1,51,Stative verbs with present reference and dynamic verbs with past perfective reference are marked differently,,3,pie-100-0000FF.png,0000FF,Stative and dynamic verbs marked differently
51-8,51,The language has no or only one TAM marker,,4,pie-100-FFFFFF.png,FFFFFF,The language has no or only one TAM marker
52-1,52,No inchoative meaning with aspect markers,,1,pie-100-FFFFFF.png,FFFFFF,No inchoative meaning with aspect markers
52-2,52,Inchoative expressed by progressive marker,,2,pie-100-FFFF00.png,FFFF00,Inchoative expressed by progressive marker
52-3,52,Inchoative expressed by completive marker,,3,pie-100-FF0000.png,FF0000,Inchoative expressed by completive marker
52-4,52,Inchoative expressed by progressive and completive markers,,4,pie-100-FF7F00.png,FF7F00,Inch. expr. by progressive and completive m.
52-5,52,No aspect markers,,5,pie-100-000000.png,000000,
53-2,53,Aspect change in verb chains is possible,,1,pie-100-FF0000.png,FF0000,Aspect change in verb chains is possible
53-3,53,Aspect change in verb chains is not possible,,2,pie-100-0000FF.png,0000FF,Aspect change in verb chains is not possible
53-1,53,Verb chaining does not exist,,3,pie-100-FFFFFF.png,FFFFFF,Verb chaining does not exist
54-1,54,Weak suppletion according to tense only,,1,pie-100-ADD8E6.png,ADD8E6,Weak suppletion according to tense only
54-2,54,Strong suppletion according to tense only,,2,pie-100-0000FF.png,0000FF,Strong suppletion according to tense only
54-3,54,Weak suppletion according to aspect only,,3,pie-100-FFB6C1.png,FFB6C1,Weak suppletion according to aspect only
54-4,54,Strong suppletion according to aspect only,,4,pie-100-FF0000.png,FF0000,Strong suppletion according to aspect only
54-6,54,Strong suppletion according to both tense and aspect,,5,pie-100-000000.png,000000,Strong suppletion in to both tense and aspect
54-7,54,No suppletion according to tense or aspect,,6,pie-100-FFFFFF.png,FFFFFF,No suppletion according to tense or aspect
55-1,55,Ability verb also expresses epistemic possibility,,1,pie-100-FF0000.png,FF0000,Ability verb also expresses epist. poss.
55-2,55,Ability verb cannot express epistemic possibility,,2,pie-100-0000FF.png,0000FF,Ability verb cannot express epist. poss.
55-3,55,No ability verb,,3,pie-100-FFFFFF.png,FFFFFF,No ability verb
56-1,56,Normal imperative construction and normal negator,,1,pie-100-0000FF.png,0000FF,"Normal imperative, normal negator"
56-2,56,Normal imperative construction and special negator,,2,pie-100-FF0000.png,FF0000,"Normal imperative, special negator"
56-3,56,Special imperative construction and normal negator,,3,pie-100-ADD8E6.png,ADD8E6,"Special imperative, normal negator"
56-4,56,Special imperative construction and special negator,,4,pie-100-FFB6C1.png,FFB6C1,"Special imperative, special negator"
57-1,57,No marking of patient NPs,,1,pie-100-FFFFFF.png,FFFFFF,No marking of patient NPs
57-2,57,Only definite patient NPs are marked,,2,pie-100-FFFF00.png,FFFF00,Only definite patient NPs are marked
57-3,57,Only animate patient NPs are marked,,3,pie-100-FF0000.png,FF0000,Only animate patient NPs are marked
57-4,57,Only definite and animate patient NPs are marked,,4,pie-100-FF7F00.png,FF7F00,Only definite and animate patients are marked
57-5,57,All patient NPs are marked,,5,pie-100-000000.png,000000,All patient NPs are marked
58-1,58,Neutral alignment,,1,pie-100-FFFFFF.png,FFFFFF,Neutral alignment
58-2,58,Accusative alignment,,2,pie-100-0000FF.png,0000FF,Accusative alignment
58-4,58,Ergative alignment,,3,pie-100-FF0000.png,FF0000,Ergative alignment
59-1,59,Neutral alignment,,1,pie-100-FFFFFF.png,FFFFFF,Neutral alignment
59-2,59,Accusative alignment,,2,pie-100-0000FF.png,0000FF,Accusative alignment
60-2,60,Double-object construction,,1,pie-100-0000FF.png,0000FF,Double-object construction
60-1,60,Indirect-object construction,,2,pie-100-FF0000.png,FF0000,Indirect-object construction
60-3,60,Secondary-object construction,,3,pie-100-FFFF00.png,FFFF00,Secondary-object construction
61-1,61,Subject – verb – recipient – theme,,1,pie-100-0000FF.png,0000FF,Subject – verb – recipient – theme
61-2,61,Subject – verb – theme – recipient,,2,pie-100-FF0000.png,FF0000,Subject – verb – theme – recipient
61-3,61,Subject – theme – recipient – verb,,3,pie-100-FFB6C1.png,FFB6C1,Subject – theme – recipient – verb
61-4,61,Subject – recipient – theme – verb,,4,pie-100-ADD8E6.png,ADD8E6,Subject – recipient – theme – verb
61-5,61,Verb-initial recipient – theme,,5,pie-100-000000.png,000000,Verb-initial recipient – theme
61-6,61,Verb-initial theme – recipient,,6,pie-100-FFFF00.png,FFFF00,Verb-initial theme – recipient
61-7,61,Other recipient – theme,,7,pie-100-964B00.png,964B00,Other recipient – theme
61-8,61,Other theme – recipient,,8,pie-100-800080.png,800080,Other theme – recipient
62-1,62,Obligatory pronoun words,,1,pie-100-FF0000.png,FF0000,Obligatory pronoun words
62-2,62,Pronoun affixes,,2,pie-100-FF7F00.png,FF7F00,Pronoun affixes
62-5,62,Optional pronoun words,,3,pie-100-0000FF.png,0000FF,Optional pronoun words
62-4,62,Subject pronouns in different position,,4,pie-100-FFFF00.png,FFFF00,Subject pronouns in different position
62-6,62,Mixed behaviour of pronominal subjects,,5,pie-100-000000.png,000000,Mixed behaviour of pronominal subjects
63-1,63,An expletive subject is used,,1,pie-100-FF0000.png,FF0000,An expletive subject is used
63-2,63,An expletive subject is not used,,2,pie-100-0000FF.png,0000FF,An expletive subject is not used
63-3,63,'There is no 'seem' construction,,3,pie-100-FFFFFF.png,FFFFFF,'There is no 'seem' construction
64-1,64,An expletive subject is used,,1,pie-100-FF0000.png,FF0000,An expletive subject is used
64-2,64,An expletive subject is not used,,2,pie-100-0000FF.png,0000FF,An expletive subject is not used
