pk,jsondata,id,name,description,markup_description,date,version
15,,15,Krio,"Krio (or Sierra Leone Krio) is used natively primarily by residents of the Western Area Peninsula (including Freetown) and as a lingua franca by more than 4 million of the approximately 5.5 million residents of Sierra Leone in general. It is additionally used as a lingua franca by an indeterminate number of speakers of Sierra Leone origin living outside of Sierra Leone. The default lect documented in APiCS is reflective of standard usage by me and other native Krio speakers residing in Freetown and supported by my and their intuitions as native Krio speakers. Additional examples used in the data set were from a variety of published sources (including A Krio–English dictionary by Clifford Fyle and Eldred Jones, 1980).

The use of Krio in Sierra Leone has become more widespread since it was incorporated into the educational curriculum and is now one of the most popular languages taught in schools. Krio grammar has further been influenced by input from non-native Krio speakers (formerly residents in the provinces, where Krio was used non-natively as a lingua franca) who were displaced by the civil war in the 1990s and resettled in Freetown. Krio became the language used almost exclusively by most of the new Freetown residents who produced some variant Krio grammatical forms (possibly due to transfer from their primary languages) that were incorporated into Krio grammar and now coexist as parallels to the original Krio forms and expressions. The APiCS data do not reflect these variant forms.","Krio (or Sierra Leone Krio) is used natively primarily by residents of the Western Area Peninsula (including Freetown) and as a lingua franca by more than 4 million of the approximately 5.5 million residents of Sierra Leone in general. It is additionally used as a lingua franca by an indeterminate number of speakers of Sierra Leone origin living outside of Sierra Leone. The default lect documented in <span style=""font-style: italic;"">APiCS </span>is reflective of standard usage by me and other native Krio speakers residing in Freetown and supported by my and their intuitions as native Krio speakers. Additional examples used in the data set were from a variety of published sources (including <span style=""font-style: italic;"">A Krio–English dictionary</span> by Clifford Fyle and Eldred Jones, 1980).

The use of Krio in Sierra Leone has become more widespread since it was incorporated into the educational curriculum and is now one of the most popular languages taught in schools. Krio grammar has further been influenced by input from non-native Krio speakers (formerly residents in the provinces, where Krio was used non-natively as a lingua franca) who were displaced by the civil war in the 1990s and resettled in Freetown. Krio became the language used almost exclusively by most of the new Freetown residents who produced some variant Krio grammatical forms (possibly due to transfer from their primary languages) that were incorporated into Krio grammar and now coexist as parallels to the original Krio forms and expressions. The <span style=""font-style: italic;"">APiCS </span>data do not reflect these variant forms.",,1
16,,16,Ghanaian Pidgin English,"Ghanaian Pidgin English is used by roughly a fifth of Ghana’s more than 25 million inhabitants (2012) in a variety of situations. It is a predominantly oral and urban phenomenon, spoken in the south of Ghana, especially in the capital Accra. It is confined to a smaller (though growing) section of society than Pidgin English in other anglophone West African countries, its functional domain is more restricted and the language is more stigmatized. There are two main varieties: ""Uneducated"" Pidgin is associated with the less educated sections of society, while ""educated"" Pidgin (also called ""Student Pidgin"") is usually spoken by Ghanaians who have at least progressed to the upper forms of secondary school. The uneducated variety is the default lect documented in APiCS. This variety can be heard e.g. in the so-called zongos, quarters in the bigger southern cities which are home to migrants from Ghana’s north but also from neighbouring countries like Mali and Burkina Faso. At times, reference is made in the database to alternative structures in Student Pidgin, which is spoken mostly by male speakers in informal settings in the secondary schools and universities, but increasingly also outside these institutions. In one case (Feature 5 ""Order of demonstrative and noun) the database provides information on a more acrolectal variety of the default lect (uneducated Pidgin).","Ghanaian Pidgin English is used by roughly a fifth of Ghana’s more than 25 million inhabitants (2012) in a variety of situations. It is a predominantly oral and urban phenomenon, spoken in the south of Ghana, especially in the capital Accra. It is confined to a smaller (though growing) section of society than Pidgin English in other anglophone West African countries, its functional domain is more restricted and the language is more stigmatized. There are two main varieties: ""Uneducated"" Pidgin is associated with the less educated sections of society, while ""educated"" Pidgin (also called ""Student Pidgin"") is usually spoken by Ghanaians who have at least progressed to the upper forms of secondary school. The uneducated variety is the <span style=""font-weight: bold;"">default lect</span> documented in <span style=""font-style: italic;"">APiCS</span>. This variety can be heard e.g. in the so-called zongos, quarters in the bigger southern cities which are home to migrants from Ghana’s north but also from neighbouring countries like Mali and Burkina Faso. At times, reference is made in the database to alternative structures in <span style=""font-weight: bold;"">Student Pidgin</span>, which is spoken mostly by male speakers in informal settings in the secondary schools and universities, but increasingly also outside these institutions. In one case (Feature 5 ""Order of demonstrative and noun) the database provides information on a more <span style=""font-weight: bold;"">acrolectal variety</span> of the default lect (uneducated Pidgin).",,1
17,,17,Nigerian Pidgin,"With over 75 million speakers, Nigerian Pidgin has become by far the most widely spoken and fastest growing language in Nigeria today. Nigerian Pidgin is the first language, or one of the first languages, learned by tens of millions of people across southern Nigeria and in urban areas throughout the entire country.  For those who do not learn Nigerian Pidgin as one of their first languages, it is learned informally as a second language in one or a number of venues for interethnic contact, including marketplaces, workplaces, schools, universities, military and police barracks, etc.  Many of those who learn Nigerian Pidgin as one of their first languages, as well as a considerable number of those who learn Nigerian Pidgin as a second language, eventually end up using it as their main language of day-to-day communication. Proficiency in Nigerian Pidgin ranges from the ‘deep’ varieties spoken by those who have learned it as their mother tongue for generations in Warri and Sapele, to varieties heavily influenced by other ancestral Nigerian languages spoken by those who have learned Nigerian Pidgin as a second language and who use it only for trading in the marketplace, to varieties heavily influenced by Standard English spoken by those who have learned Nigerian Pidgin as a second language and who use it only with classmates at university, etc.  Unless otherwise specified, the lect of Nigerian Pidgin utilized for the descriptions and examples of features, lexical items, and constructions provided in this work (default lect) is that used by the millions of people who have learned Nigerian Pidgin as a first language and who use it as one of their main languages of daily communication in the metropolitan area of the city of Port Harcourt at the mouth of the delta of the Niger River in the southeast of Nigeria.","With over 75 million speakers, Nigerian Pidgin has become by far the most widely spoken and fastest growing language in Nigeria today. Nigerian Pidgin is the first language, or one of the first languages, learned by tens of millions of people across southern Nigeria and in urban areas throughout the entire country.  For those who do not learn Nigerian Pidgin as one of their first languages, it is learned informally as a second language in one or a number of venues for interethnic contact, including marketplaces, workplaces, schools, universities, military and police barracks, etc.  Many of those who learn Nigerian Pidgin as one of their first languages, as well as a considerable number of those who learn Nigerian Pidgin as a second language, eventually end up using it as their main language of day-to-day communication. Proficiency in Nigerian Pidgin ranges from the ‘deep’ varieties spoken by those who have learned it as their mother tongue for generations in Warri and Sapele, to varieties heavily influenced by other ancestral Nigerian languages spoken by those who have learned Nigerian Pidgin as a second language and who use it only for trading in the marketplace, to varieties heavily influenced by Standard English spoken by those who have learned Nigerian Pidgin as a second language and who use it only with classmates at university, etc.  Unless otherwise specified, the lect of Nigerian Pidgin utilized for the descriptions and examples of features, lexical items, and constructions provided in this work (default lect) is that used by the millions of people who have learned Nigerian Pidgin as a first language and who use it as one of their main languages of daily communication in the metropolitan area of the city of Port Harcourt at the mouth of the delta of the Niger River in the southeast of Nigeria.",,1
18,,18,Cameroon Pidgin English,"Cameroon Pidgin English is spoken in the Republic of Cameroon and in many diaspora communities, e.g. in France, the UK, Germany, the USA, and South Africa. The number of speakers is difficult to determine as it is spoken by different people with varying degrees of competence: these range from L1 speakers and fluent L2 speakers to people who use it only sporadically as a rudimentary and ad hoc means of communication in trade situations. In Cameroon, in addition to the two official languages French and English, there are approximately 280 indigenous languages spoken at the local level, out of which 7 or 8 as well as Cameroon Pidgin English have attained the status of regional lingua francas. Of these, Cameroon Pidgin English is probably the most important one. All these languages (indigenous and official) exert an influence on Cameroon Pidgin English, and therefore variation in this language is determined by varying degrees of approximation to Cameroon English and to French at the acrolectal end (usually associated with educated speakers in urban environments) and varying degrees of influence from the indigenous languages at the basilectal end (usually associated with less educated speakers and rural areas). The variety taken as the default lect for the features in APiCS ranges between the two ends of this gradatum and is usually described as ‘broad variety’. All examples are either taken from published descriptions of the language (as indicated in the dataset) or constructed with the help of Dr. Balbina Ebong, a native speaker of Cameroon Pidgin English.

Acknowledgement:

I would like to thank Dr. Balbina Ebong, who - as a native speaker of Cameroon Pidgin English - crosschecked all constructed examples in this survey","Cameroon Pidgin English is spoken in the Republic of Cameroon and in many diaspora communities, e.g. in France, the UK, Germany, the USA, and South Africa. The number of speakers is difficult to determine as it is spoken by different people with varying degrees of competence: these range from L1 speakers and fluent L2 speakers to people who use it only sporadically as a rudimentary and <span style=""font-style: italic;"">ad hoc </span>means of communication in trade situations. In Cameroon, in addition to the two official languages French and English, there are approximately 280 indigenous languages spoken at the local level, out of which 7 or 8 as well as Cameroon Pidgin English have attained the status of regional lingua francas. Of these, Cameroon Pidgin English is probably the most important one. All these languages (indigenous and official) exert an influence on Cameroon Pidgin English, and therefore variation in this language is determined by varying degrees of approximation to Cameroon English and to French at the acrolectal end (usually associated with educated speakers in urban environments) and varying degrees of influence from the indigenous languages at the basilectal end (usually associated with less educated speakers and rural areas). The variety taken as the default lect for the features in <span style=""font-style: italic;"">APiCS</span> ranges between the two ends of this gradatum and is usually described as ‘broad variety’. All examples are either taken from published descriptions of the language (as indicated in the dataset) or constructed with the help of Dr. Balbina Ebong, a native speaker of Cameroon Pidgin English.

<span style=""font-weight: bold;"">Acknowledgement:
</span>
I would like to thank Dr. Balbina Ebong, who - as a native speaker of Cameroon Pidgin English - crosschecked all constructed examples in this survey",,1
19,,19,Pichi,"Pichi is used as a home or vernacular language by the vast majority of the old-established population of the island of Bioko. It is most often used as a primary home language in the Equatoguinean capital Malabo (located on Bioko), as well as in Luba (the second largest agglomeration of Bioko). There are no language-specific census data on Equatorial Guinea. By extrapolation from population figures it may however be safe to assume that at least seventy percent of the population of Bioko, hence more than 150,000 people, use Pichi regularly. On one end, the lectal continuum of Pichi features a variety rather close to Sierra Leone Krio in terms of phonology, morphosyntax, lexicon and idiomatic usage. This variety tends to be characteristic of older speakers, who grew up in the centre of Malabo in the ambit of Fernandino creole culture. On the other end, we find a variety characterized by phonological and morphosyntactic innovation, the absence of older layers of Krio-derived vocabulary, some convergence with West African English lexifier creoles like Nigerian Pidgin, and considerable lexical and structural admixture from Spanish. This variety, which is the default lect documented in APiCS, tends to be spoken by the younger urban working-class population of Malabo, often with a Bubi cultural background, who have adopted Pichi as a primary language, and whose families have been accultured in more recent decades into the Pichi-speaking urban culture of Malabo. The former variety is spoken by much fewer people than the latter one and continues shrinking at the expense of the latter variety.","Pichi is used as a home or vernacular language by the vast majority of the old-established population of the island of Bioko. It is most often used as a primary home language in the Equatoguinean capital Malabo (located on Bioko), as well as in Luba (the second largest agglomeration of Bioko). There are no language-specific census data on Equatorial Guinea. By extrapolation from population figures it may however be safe to assume that at least seventy percent of the population of Bioko, hence more than 150,000 people, use Pichi regularly. On one end, the lectal continuum of Pichi features a variety rather close to Sierra Leone Krio in terms of phonology, morphosyntax, lexicon and idiomatic usage. This variety tends to be characteristic of older speakers, who grew up in the centre of Malabo in the ambit of Fernandino creole culture. On the other end, we find a variety characterized by phonological and morphosyntactic innovation, the absence of older layers of Krio-derived vocabulary, some convergence with West African English lexifier creoles like Nigerian Pidgin, and considerable lexical and structural admixture from Spanish. This variety, which is the default lect documented in <span style=""font-style: italic;"">APiCS</span>, tends to be spoken by the younger urban working-class population of Malabo, often with a Bubi cultural background, who have adopted Pichi as a primary language, and whose families have been accultured in more recent decades into the Pichi-speaking urban culture of Malabo. The former variety is spoken by much fewer people than the latter one and continues shrinking at the expense of the latter variety.",,1
20,,20,Chinese Pidgin English,"Chinese Pidgin English is represented in two kinds of sources from the China trade period: (i) western texts such as memoirs and travelogues which give examples of pidgin phrases and dialogue, and (ii) phrasebooks in which pidgin words and phrases are represented using Chinese characters. The language represented in these sources differs in ways which are systematic, leading scholars to believe that Chinese Pidgin English as spoken by Chinese speakers differed from that used by speakers of English and other European languages (Ansaldo, Matthews & Smith 2011). The default lect for the Chinese Pidgin English dataset is the variety used by Chinese speakers as represented in the phrasebooks, from which the majority of examples are drawn (see Li, Matthews & Smith 2005). The alternate European lect referred to in the entries for certain features is the variety used by speakers of European languages as represented in the memoirs and similar western texts.","Chinese Pidgin English is represented in two kinds of sources from the China trade period: (i) western texts such as memoirs and travelogues which give examples of pidgin phrases and dialogue, and (ii) phrasebooks in which pidgin words and phrases are represented using Chinese characters. The language represented in these sources differs in ways which are systematic, leading scholars to believe that Chinese Pidgin English as spoken by Chinese speakers differed from that used by speakers of English and other European languages (Ansaldo, Matthews &amp; Smith 2011). The <span style=""font-weight: bold;"">default lect</span> for the Chinese Pidgin English dataset is the variety used by Chinese speakers as represented in the phrasebooks, from which the majority of examples are drawn (see Li, Matthews &amp; Smith 2005). The alternate <span style=""font-weight: bold;"">European</span> lect referred to in the entries for certain features is the variety used by speakers of European languages as represented in the memoirs and similar western texts.",,1
21,,21,Singlish,"Singapore English or Singlish is the variety used increasingly for everyday communication in Singapore, in particular in the younger generation. It functions within a complex multilingual ecology: while Mandarin Chinese, Malay and Tamil are the three other official languages in addition to English, numerous other languages are also used by the ethnically heterogeneous population, including southern Chinese languages such as Hokkien, Teochew, Cantonese, Hakka and Hainanese, and South Asian languages such as Punjabi, Bengali, Malayalam, and Telegu. Singlish exists on a lectal continuum, where basilectal and mesolectal varieties combine strong elements of Chinese grammar with a lexicon of English origin, with rich Malay and Hokkien contribution, while at the acrolectal end convergence to standard – often British, increasingly American – English is sought. Influence from other varieties of English during the British colonial period such as Indian English and Peranakan English, significant elements in the early days of English-medium education, is also observable. The basilectal/mesolectal variety, which comprises both the varieties of those without English-medium education (in older generations) and the colloquial variety of Singapore English of the English-educated, is often referred to as Singlish, and is the default lect documented in APiCS. Code-mixing between Standard English, Singlish, and some Asian language(s) – Mandarin and sometimes Hokkien, or Malay, or Tamil or other Indian language – is a dominant linguistic practice in the Chinese, Malay and Indian communities respectively. Two recent observations are of note, significant in the light of Singlish being officially stigmatised in Singapore: The gap between the more acrolectal Standard Singapore English and the more mesolectal-basilectal Singlish appears to be diminishing, with the variety used in the more formal domains showing features – certainly in phonology but also morphosyntax – usually ascribed to Singlish. And even in classroom discourse of both students and teachers, systematic mixing of acrolectal and mesolectal/basilectal varieties is documented.","Singapore English or Singlish is the variety used increasingly for everyday communication in Singapore, in particular in the younger generation. It functions within a complex multilingual ecology: while Mandarin Chinese, Malay and Tamil are the three other official languages in addition to English, numerous other languages are also used by the ethnically heterogeneous population, including southern Chinese languages such as Hokkien, Teochew, Cantonese, Hakka and Hainanese, and South Asian languages such as Punjabi, Bengali, Malayalam, and Telegu. Singlish exists on a lectal continuum, where basilectal and mesolectal varieties combine strong elements of Chinese grammar with a lexicon of English origin, with rich Malay and Hokkien contribution, while at the acrolectal end convergence to standard – often British, increasingly American – English is sought. Influence from other varieties of English during the British colonial period such as Indian English and Peranakan English, significant elements in the early days of English-medium education, is also observable. The basilectal/mesolectal variety, which comprises both the varieties of those without English-medium education (in older generations) and the colloquial variety of Singapore English of the English-educated, is often referred to as Singlish, and is the <span style=""font-weight: bold;"">default lect</span> documented in <span style=""font-style: italic;"">APiCS</span>. Code-mixing between Standard English, Singlish, and some Asian language(s) – Mandarin and sometimes Hokkien, or Malay, or Tamil or other Indian language – is a dominant linguistic practice in the Chinese, Malay and Indian communities respectively. Two recent observations are of note, significant in the light of Singlish being officially stigmatised in Singapore: The gap between the more acrolectal Standard Singapore English and the more mesolectal-basilectal Singlish appears to be diminishing, with the variety used in the more formal domains showing features – certainly in phonology but also morphosyntax – usually ascribed to Singlish. And even in classroom discourse of both students and teachers, systematic mixing of acrolectal and mesolectal/basilectal varieties is documented.",,1
22,,22,Tok Pisin,"Tok Pisin is an English-lexified pidgin/creole spoken in Papua New Guinea which has developed over the past 150 years or so. Sister dialects are spoken in neighbouring countries: Solomons Pijin in the Solomon Islands and Bislama in Vanuatu. The number of speakers of the language is difficult to determine accurately (as is the population of the country), but it is estimated that at least half of the approximately 6 million people of Papua New Guinea have at least a working knowledge of the language. The term Tok Pisin covers a wide range of both second and first language varieties, including some that are heavily influenced by English - especially in urban areas – or by indigenous languages. Nationally, Tok Pisin is predominantly spoken as a language in addition to either indigenous languages or English, and so bilingual effects in spoken language are commonplace. 

For many years Tok Pisin was spoken almost exclusively as a second language and used for a limited range of functions in this intensely multilingual area. In the past few decades, the number of speakers of creolized first language Tok Pisin has been rising steadily. Geoff Smith's own research was based on a corpus of transcribed speech of adolescents who spoke Tok Pisin as their first language, and this is the default lect used for judgements in APiCS. However, it should be noted that within this corpus there are significant regional differences. Most of the published accounts of Tok Pisin are based on rural second language Tok Pisin, and much of the early work referred to the Madang area of north-east New Guinea. These sources have also occasionally been used for illustrative purposes.

Varieties of Tok Pisin are regularly used in radio and television broadcasts, in government and NGO communications and in commercial advertising as well as in the weekly published Wantok newspaper. While the spoken language of children and adults is generally as represented here, formal and informal written varieties can show considerable differences both in the regularity of grammar and in the admixture of English from this default lect.","Tok Pisin is an English-lexified pidgin/creole spoken in Papua New Guinea which has developed over the past 150 years or so. Sister dialects are spoken in neighbouring countries: Solomons Pijin in the Solomon Islands and Bislama in Vanuatu. The number of speakers of the language is difficult to determine accurately (as is the population of the country), but it is estimated that at least half of the approximately 6 million people of Papua New Guinea have at least a working knowledge of the language. The term Tok Pisin covers a wide range of both second and first language varieties, including some that are heavily influenced by English - especially in urban areas – or by indigenous languages. Nationally, Tok Pisin is predominantly spoken as a language in addition to either indigenous languages or English, and so bilingual effects in spoken language are commonplace. 

For many years Tok Pisin was spoken almost exclusively as a second language and used for a limited range of functions in this intensely multilingual area. In the past few decades, the number of speakers of creolized first language Tok Pisin has been rising steadily. Geoff Smith's own research was based on a corpus of transcribed speech of adolescents who spoke Tok Pisin as their first language, and this is the default lect used for judgements in <span style=""font-style: italic;"">APiCS</span>. However, it should be noted that within this corpus there are significant regional differences. Most of the published accounts of Tok Pisin are based on rural second language Tok Pisin, and much of the early work referred to the Madang area of north-east New Guinea. These sources have also occasionally been used for illustrative purposes.

Varieties of Tok Pisin are regularly used in radio and television broadcasts, in government and NGO communications and in commercial advertising as well as in the weekly published <span style=""font-style: italic;"">Wantok</span> newspaper. While the spoken language of children and adults is generally as represented here, formal and informal written varieties can show considerable differences both in the regularity of grammar and in the admixture of English from this default lect.",,1
23,,23,Bislama,"Bislama is the national language and lingua franca in Vanuatu. Most of the nation’s c. 260,000 residents can use the language and increasing numbers of people speak it as their home language (either as L1 or co-L1 with a vernacular). This is particularly common in the main towns, but families using Bislama amongst themselves are found in many smaller villages too. It is not formally used as a medium of education but is widely used in public life and government. There are some suggestions that different regional dialects of Bislama are stabilising in the country: the data represented in APiCS (default lect) is largely based on fieldwork recording spontaneous speech among friends in the northern region (Sanma Province) in the mid-1990s, supplemented with printed materials in the newspapers (mainly the now defunct Vanuatu Hebdomadaire Weekly) and some national radio broadcasts in 1998 and isolated examples from print or native speaker intuitions collected between 1998-2010.","Bislama is the national language and lingua franca in Vanuatu. Most of the nation’s c. 260,000 residents can use the language and increasing numbers of people speak it as their home language (either as L1 or co-L1 with a vernacular). This is particularly common in the main towns, but families using Bislama amongst themselves are found in many smaller villages too. It is not formally used as a medium of education but is widely used in public life and government. There are some suggestions that different regional dialects of Bislama are stabilising in the country: the data represented in <span style=""font-style: italic;"">APiCS</span> (default lect) is largely based on fieldwork recording spontaneous speech among friends in the northern region (Sanma Province) in the mid-1990s, supplemented with printed materials in the newspapers (mainly the now defunct <span style=""font-style: italic;"">Vanuatu Hebdomadaire Weekly</span>) and some national radio broadcasts in 1998 and isolated examples from print or native speaker intuitions collected between 1998-2010.",,1
24,,24,Norf'k,"Norf’k is spoken by about 800 speakers, mainly residents of Norfolk Island with a growing diaspora in Sydney and Brisbane (Australia). Norf’k is not a standardized language and there is a great deal of variation. Family differences play an important part and, although the island occupies fewer than 40 square kilometres there are some regional differences between Cascade, Steels Point and Anson Bay varieties.
The principal differences, however, are determined by the proximity of the language to English. Speakers of the older generation (50+) grew up in a stable diglossic situation. For most speakers under 50 the domains and functions of English and Norf’k are no longer clearly separated and traditional Broad Norf’k is increasingly replaced by a more anglicized Norf’k. Many of the youngest generation do not acquire Norf’k at home but through formal teaching at the school or deliberate relearning in later life. Some speakers employ an instant Norf’k by adding a small number of Norf’k words, vowel pronunciations  and idiomatic expressions to their English. The examples in the APiCS dataset (default lect) were obtained from conservative older speakers wherever possible.","Norf’k is spoken by about 800 speakers, mainly residents of Norfolk Island with a growing diaspora in Sydney and Brisbane (Australia). Norf’k is not a standardized language and there is a great deal of variation. Family differences play an important part and, although the island occupies fewer than 40 square kilometres there are some regional differences between Cascade, Steels Point and Anson Bay varieties.
The principal differences, however, are determined by the proximity of the language to English. Speakers of the older generation (50+) grew up in a stable diglossic situation. For most speakers under 50 the domains and functions of English and Norf’k are no longer clearly separated and traditional Broad Norf’k is increasingly replaced by a more anglicized Norf’k. Many of the youngest generation do not acquire Norf’k at home but through formal teaching at the school or deliberate relearning in later life. Some speakers employ an instant Norf’k by adding a small number of Norf’k words, vowel pronunciations  and idiomatic expressions to their English. The examples in the <span style=""font-style: italic;"">APiCS</span> dataset (<span style=""font-weight: bold;"">default lect</span>) were obtained from conservative older speakers wherever possible.",,1
25,,25,Kriol,"Kriol is spoken as a first or second language by over 20,000 indigenous people across the north of Australia from the Gulf of Carpentaria in the East to the Kimberley area in the West, and from Darwin (North) to Tennant Creek (South). Like other English-lexified creole languages of the Pacific, Kriol originates in the English-based pidgin used between the first colonizers and the indigenous inhabitants of the Sydney area, which subsequently spread inland and north. Many authors assume that creolization occurred abruptly early in the 20th century at an Anglican mission at Roper River (close to the present-day Ngukurr) through children from different language backgrounds who had been brought together in dormitories; for this reason Kriol is often referred to as Roper River Kriol. There is however evidence that the pidgin had already stabilized and linguistically expanded at that time, due to the need for communication between the increasing numbers of Aboriginal people working on cattle stations, the (primarily) English-speaking pastoralists, and the non-English-speaking (e.g. Chinese) colonists in a wider area. Kriol is mainly used in oral communication and only has a limited role in other domains.
	
While the lects spoken at Roper River and nearby Bamyili (Barunga) remain the best documented, the description in APiCS (default lect) aims to be representative of all documented lects. In addition to Roper River Kriol these include Kriol spoken in the township of Katherine, Westside Kriol spoken in the northern Victoria River District, and Kimberley Kriol further west around Fitzroy Crossing and Halls Creek. These varieties mostly do not exhibit differences with respect to the APiCS features; where they do, this is stated explicitly (e.g. Roper River Lect). The region is also indicated for each example.","Kriol is spoken as a first or second language by over 20,000 indigenous people across the north of Australia from the Gulf of Carpentaria in the East to the Kimberley area in the West, and from Darwin (North) to Tennant Creek (South). Like other English-lexified creole languages of the Pacific, Kriol originates in the English-based pidgin used between the first colonizers and the indigenous inhabitants of the Sydney area, which subsequently spread inland and north. Many authors assume that creolization occurred abruptly early in the 20th century at an Anglican mission at Roper River (close to the present-day Ngukurr) through children from different language backgrounds who had been brought together in dormitories; for this reason Kriol is often referred to as Roper River Kriol. There is however evidence that the pidgin had already stabilized and linguistically expanded at that time, due to the need for communication between the increasing numbers of Aboriginal people working on cattle stations, the (primarily) English-speaking pastoralists, and the non-English-speaking (e.g. Chinese) colonists in a wider area. Kriol is mainly used in oral communication and only has a limited role in other domains.
	
While the lects spoken at Roper River and nearby Bamyili (Barunga) remain the best documented, the description in <span style=""font-style: italic;"">APiCS</span> (<span style=""font-weight: bold;"">default lect</span>) aims to be representative of all documented lects. In addition to Roper River Kriol these include Kriol spoken in the township of Katherine, Westside Kriol spoken in the northern Victoria River District, and Kimberley Kriol further west around Fitzroy Crossing and Halls Creek. These varieties mostly do not exhibit differences with respect to the <span style=""font-style: italic;"">APiCS</span> features; where they do, this is stated explicitly (e.g. <span style=""font-weight: bold;"">Roper River Lect</span>). The region is also indicated for each example.",,1
26,,26,Hawai‘i Creole,"Hawai‘i Creole is the mother tongue of about 600,000 speakers, i.e. roughly half of the population, on the islands of Hawai‘i, which are located in the Pacific Ocean. An additional 100,000 (approximately) can be found on the US mainland, primarily on the West Coast, in Las Vegas (Nevada) and Orlando (Florida). It is used widely on all islands in all informal situations, both at home and in the work place. While it is primarily used as an oral language, literature (fiction, drama, poetry) in Hawai‘i Creole has been published for many decades. Hawai’i Creole is not a recognized language and is generally seen as an obstacle for advancement, although the language is now slowly gaining acceptance thanks to targeted awareness programs. The default lect documented in APiCS is naturalistic speech by adults between the ages 22 and 95 at the time of recording, all belonging to the working or lower middle class social strata.","Hawai‘i Creole is the mother tongue of about 600,000 speakers, i.e. roughly half of the population, on the islands of Hawai‘i, which are located in the Pacific Ocean. An additional 100,000 (approximately) can be found on the US mainland, primarily on the West Coast, in Las Vegas (Nevada) and Orlando (Florida). It is used widely on all islands in all informal situations, both at home and in the work place. While it is primarily used as an oral language, literature (fiction, drama, poetry) in Hawai‘i Creole has been published for many decades. Hawai’i Creole is not a recognized language and is generally seen as an obstacle for advancement, although the language is now slowly gaining acceptance thanks to targeted awareness programs. The default lect documented in <span style=""font-style: italic;"">APiCS </span>is naturalistic speech by adults between the ages 22 and 95 at the time of recording, all belonging to the working or lower middle class social strata.",,1
27,,27,Negerhollands,"Negerhollands (or Virgin Islands Dutch Creole) is a Dutch-based creole language that is currently extinct. It used to be spoken on the islands of St. Thomas, St. John, and St. Croix, the current US Virgin Islands, a former Danish colony. It was primarily spoken by the slave population labouring in the plantations. In the 19th century, there was a great drift to the town where English and English Creole were spoken Negerhollands became restricted to the decreased population of the rural areas. By the 20th century it was only generally spoken by the older generations. Occasional transfer still produced a handful of speakers up into the 1970s. The last speaker passed away in 1987. The default lect described in APiCS is the variety spoken in the 1920s by 60 – 81 year old speakers from St. Thomas and St. John, as documented by De Josselin de Jong (1926). Other documented varieties of Negerhollands are the acrolect spoken by white colonists in the 18th century, often referred to as “Hochkreol”(“High creole”), and the missionary variety used by the missionaries in their liturgical material, primers, and bible translations. The missionaries used Dutch creole in their sermons, services, and literature until the end of the first half of the 19th century.","Negerhollands (or Virgin Islands Dutch Creole) is a Dutch-based creole language that is currently extinct. It used to be spoken on the islands of St. Thomas, St. John, and St. Croix, the current US Virgin Islands, a former Danish colony. It was primarily spoken by the slave population labouring in the plantations. In the 19th century, there was a great drift to the town where English and English Creole were spoken Negerhollands became restricted to the decreased population of the rural areas. By the 20th century it was only generally spoken by the older generations. Occasional transfer still produced a handful of speakers up into the 1970s. The last speaker passed away in 1987. The <span style=""font-weight: bold;"">default lect</span> described in <span style=""font-style: italic;"">APiCS </span>is the variety spoken in the 1920s by 60 – 81 year old speakers from St. Thomas and St. John, as documented by De Josselin de Jong (1926). Other documented varieties of Negerhollands are the acrolect spoken by white colonists in the 18th century, often referred to as “Hochkreol”(“High creole”), and the missionary variety used by the missionaries in their liturgical material, primers, and bible translations. The missionaries used Dutch creole in their sermons, services, and literature until the end of the first half of the 19th century.",,1
28,,28,Berbice Dutch,"Berbice Dutch is extinct, its last speakers having died in the first decade of the twentyfirst century. The fieldwork on which the APiCS description of this language is based was carried out in the period 1986-1991 by the author and in the mid 1970s by Ian E. Robertson with speakers on the Berbice River and the Wiruni Creek, the latter a tributary of the Berbice River, in Guyana. Some minor differences exist between Berbice River and Wiruni Creek speakers, notably in the form of the 1PL and 3PL pronouns and in the loss of final unstressed vowels in some forms used by Berbice River speakers. Whether these differences are of recent vintage or represent the continuation of older dialect differences cannot be ascertained, given that an older corpus does not exist. In the description, data from Berbice River and Wiruni Creek speakers are used without distinction.","Berbice Dutch is extinct, its last speakers having died in the first decade of the twentyfirst century. The fieldwork on which the <span style=""font-style: italic;"">APiCS</span> description of this language is based was carried out in the period 1986-1991 by the author and in the mid 1970s by Ian E. Robertson with speakers on the Berbice River and the Wiruni Creek, the latter a tributary of the Berbice River, in Guyana. Some minor differences exist between Berbice River and Wiruni Creek speakers, notably in the form of the 1PL and 3PL pronouns and in the loss of final unstressed vowels in some forms used by Berbice River speakers. Whether these differences are of recent vintage or represent the continuation of older dialect differences cannot be ascertained, given that an older corpus does not exist. In the description, data from Berbice River and Wiruni Creek speakers are used without distinction.",,1
