pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source,version
136,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-180,,,9,181,9,,1
137,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-181,,,9,182,9,,1
138,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-182,,,9,183,9,,1
139,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-183,,,9,184,9,,1
140,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-184,,,9,185,9,,1
141,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-209,,,9,210,9,,1
142,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-217,,,9,218,9,,1
143,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-218,,,9,219,9,,1
144,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-221,,,9,222,9,,1
145,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-252,,,9,253,9,,1
148,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-263,,,9,264,9,,1
149,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-253,,,9,254,9,,1
150,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-286,,,9,287,9,,1
151,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-254,,,9,255,9,,1
152,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-287,,,9,288,9,,1
153,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-255,,,9,256,9,,1
154,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-267,,,9,268,9,,1
155,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-268,,,9,269,9,,1
156,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-256,,,9,257,9,,1
157,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-288,,,9,289,9,,1
158,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-272,,,9,273,9,,1
159,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-257,,,9,258,9,,1
160,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-289,,,9,290,9,,1
161,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-273,,,9,274,9,,1
162,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",9-258,,,9,259,9,,1
163,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-290,,,9,291,9,,1
164,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-259,,,9,260,9,,1
165,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-260,,,9,261,9,,1
166,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-231,,,9,232,9,,1
167,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-151,,,9,152,9,,1
168,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-152,,,9,153,9,,1
169,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-173,,,9,174,9,,1
170,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-174,,,9,175,9,,1
171,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-160,,,9,161,9,,1
172,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-138,,,9,139,9,,1
173,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-170,,,9,171,9,,1
174,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-191,/θ/ occurs in acrolects and occasionally in mesolects.,/θ/ occurs in acrolects and occasionally in mesolects.,9,192,9,,1
175,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-200,,,9,201,9,,1
176,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-212,,,9,213,9,,1
177,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-291,,,9,292,9,,1
178,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-274,,,9,275,9,,1
179,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-284,,,9,285,9,,1
180,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-275,,,9,276,9,,1
181,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-276,,,9,277,9,,1
182,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-277,,,9,278,9,,1
183,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",9-278,,,9,279,9,,1
184,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-279,,,9,280,9,,1
185,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-280,,,9,281,9,,1
186,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-281,,,9,282,9,,1
187,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",9-282,,,9,283,9,,1
188,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-131,,,74,132,74,,1
189,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-147,,,74,148,74,,1
190,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",74-156,,,74,157,74,,1
191,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-132,,,74,133,74,,1
192,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-159,,,74,160,74,,1
193,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-133,,,74,134,74,,1
194,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",74-158,,,74,159,74,,1
195,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-134,,,74,135,74,,1
196,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-143,,,74,144,74,,1
197,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-144,,,74,145,74,,1
198,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-145,,,74,146,74,,1
199,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-146,,,74,147,74,,1
200,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-148,,,74,149,74,,1
201,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",74-163,,,74,164,74,,1
202,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-149,,,74,150,74,,1
203,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-153,,,74,154,74,,1
204,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-155,,,74,156,74,,1
205,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-168,,,74,169,74,,1
206,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-169,,,74,170,74,,1
207,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-172,,,74,173,74,,1
208,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-176,,,74,177,74,,1
209,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-137,,,74,138,74,,1
210,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-139,,,74,140,74,,1
211,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFB6C1.png""}",74-161,,,74,162,74,,1
212,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-140,,,74,141,74,,1
213,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-171,,,74,172,74,,1
214,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-187,,,74,188,74,,1
215,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-188,,,74,189,74,,1
216,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-189,This sound is rare and only found in very recent English loans; it is usually replaced by /p/.,This sound is rare and only found in very recent English loans; it is usually replaced by /p/.,74,190,74,,1
217,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-190,/v/ is usually replaced by /w/.,/v/ is usually replaced by /w/.,74,191,74,,1
218,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-192,,,74,193,74,,1
219,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-193,,,74,194,74,,1
220,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-194,,,74,195,74,,1
221,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-195,,,74,196,74,,1
222,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-196,,,74,197,74,,1
223,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-199,,,74,200,74,,1
224,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-201,,,74,202,74,,1
225,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-202,,,74,203,74,,1
226,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-205,,,74,206,74,,1
227,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-178,,,74,179,74,,1
228,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-179,,,74,180,74,,1
229,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-180,,,74,181,74,,1
230,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-181,,,74,182,74,,1
231,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-182,,,74,183,74,,1
232,"{""_number_of_values"": 1, ""icon"": ""pie-100-F7F713.png""}",74-183,,,74,184,74,,1
233,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-184,,,74,185,74,,1
234,"{""_number_of_values"": 1, ""icon"": ""pie-100-FC3535.png""}",74-209,,,74,210,74,,1
235,"{""_number_of_values"": 1, ""icon"": ""pie-100-FFFFFF.png""}",74-217,,,74,218,74,,1
