pk,jsondata,id,name,description,markup_description
42,,42,Papiá Kristang,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
43,,43,Batavia Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
44,,44,Ternate Chabacano,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
45,,45,Cavite Chabacano,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
46,,46,Zamboanga Chabacano,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
47,,47,Papiamentu,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
48,,48,Palenquero,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
49,,49,Haitian Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
50,,50,Guadeloupean and Martinican Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
52,,52,Guyanais,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
53,,53,Louisiana Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
54,,54,Reunion Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
55,,55,Mauritian Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
56,,56,Seychelles Creole,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
57,,57,Tayo,"Volume 2: Portuguese-based, Spanish-based, and French-based Languages",
58,,58,Kikongo-Kituba,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
59,,59,Sango,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
60,,60,Lingala,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
61,,61,Fanakalo,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
62,,62,Mixed Ma’a/Mbugu,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
63,,63,Kinubi,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
64,,64,Juba Arabic,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
65,,65,Chinese Pidgin Russian,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
66,,66,Sri Lankan Malay,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
67,,67,Singapore Bazaar Malay,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
68,,68,Ambon Malay,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
69,,69,Yimas-Arafundi Pidgin,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
70,,70,Pidgin Hindustani,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
71,,71,Pidgin Hawaiian,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
72,,72,Gurindji Kriol,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
73,,73,Media Lengua,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
74,,74,Chinuk Wawa,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
75,,75,Michif,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
76,,76,Eskimo Pidgin,"Volume 3: Contact Languages Based on Languages from Africa, Asia, Australia, and the Americas",
